file,string,begin,end,value,timex3Class
ES100736.xml,los 2 meses,1220,1231,P2M,DURATION
ES100736.xml,las pocas horas,1396,1411,PTXH,DURATION
ES100736.xml,unas 48 horas,1503,1516,P2D,DURATION
ES100736.xml,un mes,3548,3554,P1M,DURATION
ES100050.xml,19 años,12,19,P19Y,DURATION
ES100050.xml,unos 8 meses,135,147,P8M,DURATION
ES100642.xml,73 años,9,16,P73Y,DURATION
ES100642.xml,Al mes,504,510,P1M,SET
ES100091.xml,58 años,12,19,P58Y,DURATION
ES100091.xml,unos 15 días,162,174,P15D,DURATION
ES100091.xml,8 años,310,316,P8Y,DURATION
ES100091.xml,las últimas dos semanas,368,391,P2W,DURATION
ES100091.xml,4 horas,645,652,PT4H,DURATION
ES100091.xml,tres años,2031,2040,P3Y,DURATION
ES100278.xml,40 años,6,13,P40Y,DURATION
ES100278.xml,2 años,2772,2778,P2Y,DURATION
ES100278.xml,4 años,2843,2849,P4Y,DURATION
ES100791.xml,53 años,18,25,P53Y,DURATION
ES100791.xml,6 años,113,119,P6Y,DURATION
ES100578.xml,52 años,9,16,P52Y,DURATION
ES100578.xml,1970,605,609,1970,DATE
ES100578.xml,las 12 semanas,1009,1023,P12W,DURATION
ES100578.xml,las tres semanas,1789,1805,P3W,DURATION
ES100587.xml,29 años,15,22,P29Y,DURATION
ES100587.xml,los 6 años,187,197,P6Y,DURATION
ES100587.xml,hace 2 años,549,560,XXXX,DATE
ES100182.xml,75 años,9,16,P75Y,DURATION
ES100633.xml,46 años,9,16,P46Y,DURATION
ES100633.xml,7 días,78,84,P7D,DURATION
ES100633.xml,los 5 meses,443,454,P5M,DURATION
ES100633.xml,al día,649,655,P1D,SET
ES100633.xml,24 meses,671,679,P2Y,DURATION
ES100631.xml,43 años,9,16,P43Y,DURATION
ES100631.xml,4 días,88,94,P4D,DURATION
ES100631.xml,1840,580,584,1840,DATE
ES100631.xml,al mes,2675,2681,P1M,SET
ES100631.xml,los 4 meses,2686,2697,P4M,DURATION
ES100631.xml,actual,2993,2999,PRESENT_REF,DATE
ES100631.xml,24 meses,3006,3014,P2Y,DURATION
ES100143.xml,las 2 semanas,700,713,P2W,DURATION
ES100143.xml,al mes,758,764,P1M,SET
ES100962.xml,20 años,39,46,P20Y,DURATION
ES100962.xml,8 horas,1696,1703,PT8H,DURATION
ES100962.xml,una semana,1712,1722,P1W,DURATION
ES100962.xml,8 horas,1798,1805,PT8H,DURATION
ES100962.xml,una semana,1814,1824,P1W,DURATION
ES100962.xml,los diez días,1912,1925,P10D,DURATION
ES100552.xml,42 años,9,16,P42Y,DURATION
ES100552.xml,10 días,65,72,P10D,DURATION
ES100552.xml,hace 20 años,200,212,XXXX,DATE
ES100552.xml,los 8 meses,1916,1927,P8M,DURATION
ES100778.xml,75 años,25,32,P75Y,DURATION
ES100778.xml,30 minutos,775,785,PT30M,DURATION
ES100778.xml,100,955,958,0100,DATE
ES100778.xml,diaria,1024,1030,P1D,SET
ES100778.xml,las 2 semanas,1592,1605,P2W,DURATION
ES100778.xml,18 meses,1726,1734,P18M,DURATION
ES100803.xml,13 años,8,15,P13Y,DURATION
ES100803.xml,los cuatro meses,200,216,P4M,DURATION
ES100634.xml,28 años,9,16,P28Y,DURATION
ES100634.xml,un mes,73,79,P1M,DURATION
ES100634.xml,diarios,482,489,P1D,SET
ES100634.xml,los seis meses,526,540,P6M,DURATION
ES100634.xml,al año,604,610,P1Y,SET
ES100634.xml,tres años,640,649,P3Y,DURATION
ES100797.xml,37 años,9,16,P37Y,DURATION
ES100797.xml,hace 2 años,122,133,XXXX,DATE
ES100797.xml,hace un año,195,206,XXXX,DATE
ES100797.xml,la semana,1279,1288,XXXX-WXX,DATE
ES100797.xml,los 6 meses,3327,3338,P6M,DURATION
ES100594.xml,72 años,9,16,P72Y,DURATION
ES100594.xml,hace 17 años,54,66,XXXX,DATE
ES100594.xml,los 10 meses,1973,1985,P10M,DURATION
ES100594.xml,la actualidad,2144,2157,PRESENT_REF,DATE
ES100423.xml,45 años,9,16,P45Y,DURATION
ES100423.xml,Quince días,280,291,P15D,DURATION
ES100423.xml,16 años,434,441,P16Y,DURATION
ES100423.xml,un año,604,610,P1Y,DURATION
ES100423.xml,años,781,785,PXY,DURATION
ES100423.xml,al año,1597,1603,P1Y,SET
ES100423.xml,reciente,1740,1748,PAST_REF,DATE
ES100569.xml,25 años,9,16,P25Y,DURATION
ES100569.xml,una semana,971,981,P1W,DURATION
ES100030.xml,61 años,35,42,P61Y,DURATION
ES100030.xml,18 meses,115,123,P18M,DURATION
ES100030.xml,los 4 meses,976,987,P4M,DURATION
ES100178.xml,34 años,18,25,P34Y,DURATION
ES100178.xml,10 años,105,112,P10Y,DURATION
ES100178.xml,6 horas,354,361,PT6H,DURATION
ES100178.xml,tres días,491,500,P3D,DURATION
ES100178.xml,14 días,578,585,P14D,DURATION
ES100178.xml,7 días,671,677,P7D,DURATION
ES100420.xml,69 años,9,16,P69Y,DURATION
ES100420.xml,Dos meses,826,835,P2M,DURATION
ES100420.xml,6 horas,1327,1334,PT6H,DURATION
ES100420.xml,3 días,1343,1349,P3D,DURATION
ES100420.xml,2 días,1375,1381,P2D,DURATION
ES100420.xml,ocho meses,1523,1533,P8M,DURATION
ES100363.xml,89 años,18,25,P89Y,DURATION
ES100363.xml,24 horas,398,406,P1D,DURATION
ES100363.xml,los 5 días,448,458,P5D,DURATION
ES100363.xml,los 5 días,2573,2583,P5D,DURATION
ES100363.xml,al mes,2660,2666,P1M,SET
ES100363.xml,los 4 meses,2698,2709,P4M,DURATION
ES100363.xml,los 3 meses,2915,2926,P3M,DURATION
ES100001.xml,el último año,116,129,XXXX,DATE
ES100001.xml,un año,166,172,P1Y,DURATION
ES100571.xml,70 años,9,16,P70Y,DURATION
ES100571.xml,1 mes,102,107,P1M,DURATION
ES100571.xml,1 semana,2965,2973,P1W,DURATION
ES100571.xml,3 meses,3015,3022,P3M,DURATION
ES100571.xml,Una semana,3265,3275,P1W,DURATION
ES100809.xml,32 años,36,43,P32Y,DURATION
ES100809.xml,las 24 horas,1652,1664,P1D,DURATION
ES100809.xml,los 15 días,2113,2124,P15D,DURATION
ES100809.xml,aproximadamente 8 horas,2829,2852,PT8H,DURATION
ES100809.xml,al día,2853,2859,P1D,SET
ES100809.xml,30 minutos,3377,3387,PT30M,DURATION
ES100410.xml,73 años,12,19,P73Y,DURATION
ES100410.xml,once años,116,125,P11Y,DURATION
ES100410.xml,un mes,160,166,P1M,DURATION
ES100410.xml,las dos semanas,765,780,P2W,DURATION
ES100410.xml,los 40 días,1224,1235,P40D,DURATION
ES100410.xml,los 73 días,1832,1843,P73D,DURATION
ES100412.xml,58 años,35,42,P58Y,DURATION
ES100002.xml,66 años,9,16,P66Y,DURATION
ES100002.xml,Ocho meses,421,431,P8M,DURATION
ES100002.xml,9 años,2097,2103,P9Y,DURATION
ES100994.xml,58 años,39,46,P58Y,DURATION
ES100994.xml,los 42 años,90,101,P42Y,DURATION
ES100994.xml,Dos años,141,149,P2Y,DURATION
ES100994.xml,58 años,1496,1503,P58Y,DURATION
ES100994.xml,Un año,1685,1691,P1Y,DURATION
ES100994.xml,el mismo mes,1704,1716,XXXX-XX,DATE
ES100994.xml,el mismo mes,2764,2776,XXXX-XX,DATE
ES100994.xml,un año,2819,2825,P1Y,DURATION
ES100214.xml,3 años,9,15,P3Y,DURATION
ES100214.xml,11 días,165,172,P11D,DURATION
ES100214.xml,24 horas,337,345,P1D,DURATION
ES100214.xml,el día 1,453,461,XXXX-XX-01,DATE
ES100214.xml,20 minutos,552,562,PT20M,DURATION
ES100214.xml,30 minutos,723,733,PT30M,DURATION
ES100214.xml,diario,891,897,P1D,SET
ES100214.xml,El día 12,1027,1036,XXXX-XX-12,DATE
ES100214.xml,40 minutos,1078,1088,PT40M,DURATION
ES100214.xml,60 minutos,1376,1386,PT1H,DURATION
ES100214.xml,2 horas,1399,1406,PT2H,DURATION
ES100214.xml,el día 15,1749,1758,XXXX-XX-15,DATE
ES100214.xml,el día 16,1804,1813,XXXX-XX-16,DATE
ES100605.xml,16 años,9,16,P16Y,DURATION
ES100605.xml,los pocos días,381,395,PXD,DURATION
ES100163.xml,46 años,9,16,P46Y,DURATION
ES100163.xml,los 42 años,85,96,P42Y,DURATION
ES100163.xml,los últimos días,213,229,PXD,DURATION
ES100163.xml,los 4 meses,1069,1080,P4M,DURATION
ES100177.xml,74 años,9,16,P74Y,DURATION
ES100177.xml,Ocho horas,408,418,PT8H,DURATION
ES100177.xml,Diez horas,503,513,PT10H,DURATION
ES100177.xml,13 días,809,816,P13D,DURATION
ES100177.xml,Cuatro meses,858,870,P4M,DURATION
ES100177.xml,un año,924,930,P1Y,DURATION
ES100417.xml,un año y cinco meses,9,29,P1Y5M,DURATION
ES100417.xml,18 semanas,568,578,P18W,DURATION
ES100417.xml,los tres años,2889,2902,P3Y,DURATION
ES100832.xml,51 años,9,16,P51Y,DURATION
ES100832.xml,24 horas,97,105,P1D,DURATION
ES100832.xml,2 horas,1276,1283,PT2H,DURATION
ES100775.xml,trece años,10,20,P13Y,DURATION
ES100775.xml,12 días,58,65,P12D,DURATION
ES100775.xml,3 días,596,602,P3D,DURATION
ES100946.xml,64 años,9,16,P64Y,DURATION
ES100946.xml,6 meses,63,70,P6M,DURATION
ES100946.xml,1000,1484,1488,1000,DATE
ES100947.xml,46 años,10,17,P46Y,DURATION
ES100947.xml,los 6 meses,212,223,P6M,DURATION
ES100947.xml,2 minutos,1079,1088,PT2M,DURATION
ES100947.xml,4 días,1430,1436,P4D,DURATION
ES100947.xml,al día,1499,1505,P1D,SET
ES100947.xml,2 semanas,1508,1517,P2W,DURATION
ES100947.xml,los 12 meses,1754,1766,P1Y,DURATION
ES100760.xml,60 años,9,16,P60Y,DURATION
ES100760.xml,enero de 2010,34,47,2010-01,DATE
ES100760.xml,abril de 2011,100,113,2011-04,DATE
ES100760.xml,una semana,410,420,P1W,DURATION
ES100760.xml,abril de 2011,425,438,2011-04,DATE
ES100760.xml,septiembre de 2012,1457,1475,2012-09,DATE
ES100760.xml,al día,1564,1570,P1D,SET
ES100760.xml,Actualmente,1732,1743,PRESENT_REF,DATE
ES100760.xml,recientemente,1856,1869,PAST_REF,DATE
ES100819.xml,53 años,25,32,P53Y,DURATION
ES100819.xml,1 hora,968,974,PT1H,DURATION
ES100819.xml,50 minutos,975,985,PT50M,DURATION
ES100819.xml,las 6 horas,3077,3088,PT6H,DURATION
ES100819.xml,la mañana,3185,3194,XXXX-XX-XXTMO,TIME
ES100819.xml,12 horas,3206,3214,PT12H,DURATION
ES100819.xml,24 horas,3396,3404,P1D,DURATION
ES100819.xml,al mes,3534,3540,P1M,SET
ES100789.xml,68 años,18,25,P68Y,DURATION
ES100789.xml,hace 2 semanas,266,280,XXXX-XX-XX,DATE
ES100789.xml,las 2 semanas,432,445,P2W,DURATION
ES100789.xml,los 3 meses,559,570,P3M,DURATION
ES100561.xml,muchos años,76,87,PXY,DURATION
ES100561.xml,las tres semanas,1128,1144,P3W,DURATION
ES100561.xml,1500,2458,2462,1500,DATE
ES100561.xml,dos meses,2502,2511,P2M,DURATION
ES100561.xml,4 meses,2525,2532,P4M,DURATION
ES100561.xml,al día,2582,2588,P1D,SET
ES100561.xml,mensuales,2673,2682,P1M,SET
ES100561.xml,los 7 meses,2799,2810,P7M,DURATION
ES100561.xml,1299,2910,2914,1299,DATE
ES100561.xml,2006,2915,2919,2006,DATE
ES100561.xml,de 10 de noviembre,2921,2939,2006-11-10,DATE
ES100978.xml,59 años,12,19,P59Y,DURATION
ES100978.xml,hace un mes,62,73,XXXX-XX,DATE
ES100978.xml,12 horas,2308,2316,PT12H,DURATION
ES100978.xml,5 meses,3465,3472,P5M,DURATION
ES100978.xml,los dos meses,3757,3770,P2M,DURATION
ES100937.xml,un mes,8,14,P1M,DURATION
ES100937.xml,48 horas,62,70,P2D,DURATION
ES100937.xml,24 horas,719,727,P1D,DURATION
ES100937.xml,las 48 horas,798,810,P2D,DURATION
ES100937.xml,2670,1007,1011,2670,DATE
ES100937.xml,cinco días,1633,1643,P5D,DURATION
ES100513.xml,7 años,9,15,P7Y,DURATION
ES100063.xml,58 años,9,16,P58Y,DURATION
ES100063.xml,6 meses,107,114,P6M,DURATION
ES100063.xml,los 40 días,3179,3190,P40D,DURATION
ES100063.xml,veinticuatro meses,3271,3289,P2Y,DURATION
ES100063.xml,Actualmente,3325,3336,PRESENT_REF,DATE
ES100063.xml,28 meses,3395,3403,P28M,DURATION
ES100705.xml,5 años,33,39,P5Y,DURATION
ES100705.xml,6 meses,243,250,P6M,DURATION
ES100705.xml,los 4 años,286,296,P4Y,DURATION
ES100705.xml,los tres meses,1837,1851,P3M,DURATION
ES100659.xml,43 años,35,42,P43Y,DURATION
ES100659.xml,las dos semanas,136,151,P2W,DURATION
ES100659.xml,una semana,743,753,P1W,DURATION
ES100659.xml,la semana,914,923,XXXX-WXX,DATE
ES100840.xml,39 años,9,16,P39Y,DURATION
ES100840.xml,48 horas,296,304,P2D,DURATION
ES100840.xml,el último año,366,379,XXXX,DATE
ES100840.xml,unas horas,419,429,PTXH,DURATION
ES100713.xml,28 años,21,28,P28Y,DURATION
ES100713.xml,15 días,168,175,P15D,DURATION
ES100713.xml,5 meses,1951,1958,P5M,DURATION
ES100896.xml,12 meses,18,26,P1Y,DURATION
ES100896.xml,unas 10 horas,121,134,PT10H,DURATION
ES100064.xml,64 años,9,16,P64Y,DURATION
ES100064.xml,mayo de 2006,33,45,2006-05,DATE
ES100064.xml,20 años,245,252,P20Y,DURATION
ES100064.xml,1993,304,308,1993,DATE
ES100064.xml,1994,311,315,1994,DATE
ES100064.xml,septiembre de 2005,393,411,2005-09,DATE
ES100064.xml,cada 21 días,619,631,P21D,SET
ES100064.xml,6 meses,640,647,P6M,DURATION
ES100064.xml,enero de 2006,679,692,2006-01,DATE
ES100064.xml,1145,1410,1414,1145,DATE
ES100064.xml,junio de 2006,2803,2816,2006-06,DATE
ES100064.xml,cada 21 días,2862,2874,P21D,SET
ES100064.xml,finales de septiembre de 2006,2938,2967,2006-09,DATE
ES100064.xml,julio de 2006,3000,3013,2006-07,DATE
ES100064.xml,octubre de 2006,3210,3225,2006-10,DATE
ES100064.xml,Recientemente,3291,3304,PAST_REF,DATE
ES100064.xml,enero de 2007,3308,3321,2007-01,DATE
ES100273.xml,67 años,9,16,P67Y,DURATION
ES100273.xml,enero de 2008,190,203,2008-01,DATE
ES100924.xml,12 años,39,46,P12Y,DURATION
ES100924.xml,36 horas,180,188,PT36H,DURATION
ES100688.xml,24 años,47,54,P24Y,DURATION
ES100688.xml,octubre de 2006,150,165,2006-10,DATE
ES100688.xml,del año 2004,459,471,2004,DATE
ES100688.xml,el mismo año,495,507,2004,DATE
ES100688.xml,una semana,1570,1580,P1W,DURATION
ES100688.xml,tres meses,1616,1626,P3M,DURATION
ES100688.xml,al mes,1998,2004,P1M,SET
ES100663.xml,58 años,39,46,P58Y,DURATION
ES100663.xml,varios meses,186,198,PXM,DURATION
ES100663.xml,estos momentos,1398,1412,PRESENT_REF,DATE
ES100715.xml,86 años,12,19,P86Y,DURATION
ES100715.xml,2 semanas,1609,1618,P2W,DURATION
ES100715.xml,2 meses,1724,1731,P2M,DURATION
ES100715.xml,3 semanas,2095,2104,P3W,DURATION
ES100098.xml,75 años,9,16,P75Y,DURATION
ES100098.xml,22 meses,3198,3206,P22M,DURATION
ES100259.xml,20 años,35,42,P20Y,DURATION
ES100259.xml,un año,84,90,P1Y,DURATION
ES100259.xml,24 horas,499,507,P1D,DURATION
ES100259.xml,2424,639,643,2424,DATE
ES100112.xml,67 años,9,16,P67Y,DURATION
ES100112.xml,los 64 años,286,297,P64Y,DURATION
ES100112.xml,4 meses,479,486,P4M,DURATION
ES100112.xml,días previos,495,507,XXXX-XX-XX,DATE
ES100112.xml,Tres días,1467,1476,P3D,DURATION
ES100112.xml,los seis meses,2153,2167,P6M,DURATION
ES100112.xml,las 72 horas,2674,2686,P3D,DURATION
ES100310.xml,73 años,9,16,P73Y,DURATION
ES100310.xml,3 meses,156,163,P3M,DURATION
ES100310.xml,dos meses,292,301,P2M,DURATION
ES100310.xml,dos años,353,361,P2Y,DURATION
ES100304.xml,34 años,9,16,P34Y,DURATION
ES100304.xml,9 años,224,230,P9Y,DURATION
ES100304.xml,los 3 meses,380,391,P3M,DURATION
ES100304.xml,diaria,470,476,P1D,SET
ES100304.xml,semanal,2099,2106,P1W,SET
ES100304.xml,semanal,2926,2933,P1W,SET
ES100304.xml,3 meses,2972,2979,P3M,DURATION
ES100304.xml,la actualidad,3111,3124,PRESENT_REF,DATE
