,file,string,begin,end,type
456,ES100320.xml,disminución de la,2381,2398,B-Grp_Enfermedad
459,ES100320.xml,metástasis,2496,2506,B-Grp_Enfermedad
461,ES100320.xml,linfocitos CD4,2608,2622,B-Estructura_Corporal
463,ES100320.xml,punción ganglionar,2798,2816,B-Grp_Enfermedad
464,ES100320.xml,bacterias,2839,2848,B-Grp_Enfermedad
465,ES100320.xml,Toxoplasma,2982,2992,B-Grp_Enfermedad
467,ES100320.xml,neumonía difusa,3146,3161,B-Grp_Enfermedad
468,ES100320.xml,linfoma diseminado,3218,3236,B-Grp_Enfermedad
469,ES100320.xml,afectación mediastínica,3241,3264,B-Grp_Enfermedad
474,ES100320.xml,tumor,3438,3443,B-Grp_Enfermedad
476,ES100320.xml,afectación ganglionar supraclavicular,3483,3520,B-Grp_Enfermedad
1333,ES100280.xml,glomerulonefritis,23,40,B-Grp_Enfermedad
1338,ES100280.xml,peritonitis,232,243,B-Grp_Enfermedad
1341,ES100280.xml,dolor abdominal,476,491,B-Grp_Enfermedad
1342,ES100280.xml,efecto masa,494,505,B-Grp_Enfermedad
1344,ES100280.xml,engrosamiento peritoneal,541,565,B-Grp_Enfermedad
1345,ES100280.xml,colección líquida pélvica,567,592,B-Grp_Enfermedad
1348,ES100280.xml,dilatación gástrica,635,654,B-Grp_Enfermedad
1351,ES100280.xml,deterioro del estado general,786,814,B-Grp_Enfermedad
2767,ES100519.xml,hipertensión arterial,68,89,B-Grp_Enfermedad
2768,ES100519.xml,asma,92,96,B-Grp_Enfermedad
2769,ES100519.xml,alergias,102,110,B-Alergia
2770,ES100519.xml,hábitos tóxicos,117,132,B-Grp_Enfermedad
2771,ES100519.xml,mareo,171,176,B-Grp_Enfermedad
2772,ES100519.xml,sudoración profusa,179,197,B-Grp_Enfermedad
2773,ES100519.xml,taquicárdica,214,226,B-Grp_Enfermedad
2774,ES100519.xml,caída accidental,264,280,B-Grp_Enfermedad
2775,ES100519.xml,traumatismo,299,310,B-Grp_Enfermedad
2776,ES100519.xml,lesiones cutáneas,367,384,B-Grp_Enfermedad
2777,ES100519.xml,edema,443,448,B-Grp_Enfermedad
2778,ES100519.xml,bullas,451,457,B-Estructura_Corporal
2780,ES100519.xml,dolor,490,495,B-Grp_Enfermedad
2781,ES100519.xml,leucocitosis,580,592,B-Grp_Enfermedad
2782,ES100519.xml,neutrófilos,622,633,B-Estructura_Corporal
2783,ES100519.xml,lesiones,788,796,B-Grp_Enfermedad
2785,ES100519.xml,edema,831,836,B-Grp_Enfermedad
2786,ES100519.xml,tumefacción,839,850,B-Grp_Enfermedad
2787,ES100519.xml,crepitación,856,867,B-Grp_Enfermedad
2788,ES100519.xml,dolor,918,923,B-Grp_Enfermedad
2790,ES100519.xml,dolor,1023,1028,B-Grp_Enfermedad
2791,ES100519.xml,fascitis necrosante bilateral,1098,1127,B-Grp_Enfermedad
2792,ES100519.xml,caída,1246,1251,B-Grp_Enfermedad
2793,ES100519.xml,heridas,1264,1271,B-Grp_Enfermedad
2794,ES100519.xml,lesiones,1275,1283,B-Grp_Enfermedad
2797,ES100519.xml,progresión,1507,1517,B-Grp_Enfermedad
2800,ES100519.xml,infección,1593,1602,B-Grp_Enfermedad
2804,ES100519.xml,fascitis necrotizante,1918,1939,B-Grp_Enfermedad
2805,ES100519.xml,isquemia,1978,1986,B-Grp_Enfermedad
2806,ES100519.xml,necrosis,1989,1997,B-Grp_Enfermedad
2815,ES100519.xml,absceso intraparietal,2360,2381,B-Grp_Enfermedad
2816,ES100519.xml,empeoramiento,2525,2538,B-Grp_Enfermedad
1995,ES100727.xml,dificultad de fonación,63,85,B-Grp_Enfermedad
1998,ES100727.xml,hipoplasia maxilar,199,217,B-Grp_Enfermedad
2000,ES100727.xml,macroglosia,320,331,B-Grp_Enfermedad
2001,ES100727.xml,defecto,444,451,B-Grp_Enfermedad
2003,ES100727.xml,síndrome de Beckwith-Wiedmann,581,610,B-Grp_Enfermedad
2005,ES100727.xml,dificultades respiratorias,727,753,B-Grp_Enfermedad
2006,ES100727.xml,macroglosia,785,796,B-Grp_Enfermedad
2009,ES100727.xml,disminución,1120,1131,B-Grp_Enfermedad
2012,ES100727.xml,facilidad,1320,1329,B-Grp_Enfermedad
2013,ES100727.xml,anestesia,1371,1380,B-Grp_Medicamento
2021,ES100727.xml,infiltraciones de anestésico local,1884,1918,B-Grp_Enfermedad
2023,ES100727.xml,segmento demarcado,1963,1975,B-Estructura_Corporal
2028,ES100727.xml,sangrado,2361,2368,B-Grp_Enfermedad
2030,ES100727.xml,disminución anterior,2609,2629,B-Grp_Enfermedad
2036,ES100727.xml,disminución,2998,3009,B-Grp_Enfermedad
2040,ES100727.xml,pérdida sensitiva,3103,3120,B-Grp_Enfermedad
23,ES100848.xml,odinofagia,70,80,B-Grp_Enfermedad
24,ES100848.xml,sangrado oral,83,96,B-Grp_Enfermedad
25,ES100848.xml,úlcera de aspecto necrótico,139,166,B-Grp_Enfermedad
27,ES100848.xml,carcinoma epidermoide,263,284,B-Grp_Enfermedad
28,ES100848.xml,adenopatías laterocervicales,310,338,B-Grp_Enfermedad
30,ES100848.xml,carcinoma epidermoide,500,521,B-Grp_Enfermedad
33,ES100848.xml,tratamiento quimiorradioterápico,590,622,B-Grp_Medicamento
34,ES100848.xml,fracción,695,703,B-Grp_Enfermedad
35,ES100848.xml,cisplatino,743,753,B-Grp_Enfermedad
36,ES100848.xml,astenia,1058,1065,B-Grp_Enfermedad
37,ES100848.xml,inestabilidad,1067,1080,B-Grp_Enfermedad
38,ES100848.xml,dolor abdominal,1083,1098,B-Grp_Enfermedad
39,ES100848.xml,hematemesis masiva,1110,1128,B-Grp_Enfermedad
40,ES100848.xml,tumoración ulcerada,1226,1245,B-Grp_Enfermedad
46,ES100848.xml,carcinoma epidermoide,1389,1410,B-Grp_Enfermedad
47,ES100848.xml,metástasis,1426,1436,B-Grp_Enfermedad
51,ES100848.xml,sangrado,1586,1594,B-Grp_Enfermedad
54,ES100848.xml,diseminación metastásica,1941,1965,B-Grp_Enfermedad
1122,ES100445.xml,agenesia de cuerpo calloso,144,170,B-Grp_Enfermedad
1124,ES100445.xml,anomalías de la migración neuronal,190,224,B-Grp_Enfermedad
1125,ES100445.xml,epilepsia,249,258,B-Grp_Enfermedad
1126,ES100445.xml,hipsarritmia asimétrica,402,425,B-Grp_Enfermedad
1128,ES100445.xml,pigmento peripapilar,500,520,B-Grp_Enfermedad
1130,ES100445.xml,afectación macular,665,683,B-Grp_Enfermedad
1133,ES100445.xml,áreas hipopigmentadas coriorretinales,761,798,B-Grp_Enfermedad
1062,ES100079.xml,hiperuricemia,261,274,B-Grp_Enfermedad
1063,ES100079.xml,hematuria,319,328,B-Grp_Enfermedad
1066,ES100079.xml,trombo tumoral,508,522,B-Grp_Enfermedad
1074,ES100079.xml,infiltración vascular tumoral,1140,1169,B-Grp_Enfermedad
1076,ES100079.xml,infiltración vascular,1271,1292,B-Grp_Enfermedad
1077,ES100079.xml,adenopatías,1298,1309,B-Grp_Enfermedad
1078,ES100079.xml,trombo,1382,1388,B-Estructura_Corporal
1079,ES100079.xml,neoformación renal estadio T3bN0M0,1464,1498,B-Grp_Enfermedad
1080,ES100079.xml,trombo tumoral,1503,1517,B-Grp_Enfermedad
1088,ES100079.xml,circulación extracorpórea,1919,1944,B-Grp_Enfermedad
1089,ES100079.xml,hipotermia profunda,1949,1968,B-Grp_Enfermedad
1090,ES100079.xml,retroperfusión cerebral,1971,1994,B-Grp_Enfermedad
1095,ES100079.xml,infiltración,2348,2360,B-Grp_Enfermedad
1096,ES100079.xml,defecto,2434,2441,B-Grp_Enfermedad
1099,ES100079.xml,adenocarcinoma renal,2656,2676,B-Grp_Enfermedad
1103,ES100079.xml,trombo,2826,2832,B-Grp_Enfermedad
1105,ES100079.xml,lesión lítica,2981,2994,B-Grp_Enfermedad
1107,ES100079.xml,lesión,3126,3132,B-Grp_Enfermedad
1109,ES100079.xml,recidiva,3453,3461,B-Grp_Enfermedad
374,ES100737.xml,cefalea,205,212,B-Grp_Enfermedad
375,ES100737.xml,estrabismo,270,280,B-Grp_Enfermedad
377,ES100737.xml,estrabismo,449,459,B-Grp_Enfermedad
380,ES100737.xml,nistagmo horizontal,523,542,B-Grp_Enfermedad
381,ES100737.xml,mirada forzada,548,562,B-Grp_Enfermedad
384,ES100737.xml,masa,697,701,B-Grp_Enfermedad
388,ES100737.xml,edema perilesional,867,885,B-Grp_Enfermedad
389,ES100737.xml,contraste intravenoso,945,966,B-Grp_Medicamento
392,ES100737.xml,proliferación neoplásica,1178,1202,B-Grp_Enfermedad
393,ES100737.xml,meningioma atípico,1316,1334,B-Grp_Enfermedad
396,ES100737.xml,células proliferantes núcleos,1499,1528,B-Estructura_Corporal
399,ES100737.xml,recidiva,2021,2029,B-Grp_Enfermedad
2212,ES100051.xml,tamaño aumentado,259,275,B-Grp_Enfermedad
2214,ES100051.xml,calcificaciones,356,371,B-Grp_Enfermedad
2217,ES100051.xml,elevación de PSA,496,512,B-Grp_Enfermedad
2219,ES100051.xml,nevus azul prostático,645,666,B-Grp_Enfermedad
2221,ES100051.xml,inflamación crónica,709,728,B-Grp_Enfermedad
2222,ES100051.xml,reacción granulomatosa,731,753,B-Grp_Enfermedad
2224,ES100051.xml,gránulos intracitoplásmicos,795,822,B-Estructura_Corporal
2225,ES100051.xml,melanocitos,825,836,B-Estructura_Corporal
2043,ES100521.xml,sobrepeso,92,101,B-Grp_Enfermedad
2044,ES100521.xml,sepsis,112,118,B-Grp_Enfermedad
2046,ES100521.xml,fallo multiorgánico,145,164,B-Grp_Enfermedad
2051,ES100521.xml,lesiones necróticas,426,445,B-Grp_Enfermedad
2056,ES100521.xml,lesiones de pequeño tamaño,869,895,B-Grp_Enfermedad
2058,ES100521.xml,necrosis plantar izquierda,1027,1053,B-Grp_Enfermedad
2059,ES100521.xml,escara,1065,1071,B-Grp_Enfermedad
2060,ES100521.xml,anestesia,1140,1149,B-Grp_Medicamento
2061,ES100521.xml,necrosis,1169,1177,B-Grp_Enfermedad
2063,ES100521.xml,úlcera pretibial derecha,1222,1246,B-Grp_Enfermedad
2064,ES100521.xml,desbridamiento plantar izquierdo,1304,1336,B-Grp_Enfermedad
2066,ES100521.xml,desbridamientos diarios,1359,1382,B-Grp_Enfermedad
2067,ES100521.xml,esfacelos,1426,1435,B-Estructura_Corporal
2068,ES100521.xml,desbridamientos diarios,1463,1486,B-Grp_Enfermedad
2069,ES100521.xml,anestesia,1522,1531,B-Grp_Medicamento
2070,ES100521.xml,dolor,1553,1558,B-Grp_Enfermedad
2071,ES100521.xml,anestesia,1571,1580,B-Grp_Medicamento
2072,ES100521.xml,tejido necrótico,1601,1617,B-Grp_Enfermedad
2073,ES100521.xml,terapia V.A.C,1630,1643,B-Grp_Medicamento
2077,ES100521.xml,efecto antibacteriano,2088,2109,B-Estructura_Corporal
2080,ES100521.xml,sobreinfección,2697,2711,B-Grp_Enfermedad
2082,ES100521.xml,terapia VAC,2814,2825,B-Grp_Medicamento
2088,ES100521.xml,defecto residual pretibial derecho,3044,3078,B-Grp_Enfermedad
2089,ES100521.xml,heridas cicatrizaron,3124,3144,B-Grp_Enfermedad
2091,ES100521.xml,anestesia,3527,3536,B-Grp_Medicamento
2828,ES100284.xml,Colitis Ulcerosa,149,165,B-Grp_Enfermedad
2830,ES100284.xml,metilprednisolona,238,255,B-Grp_Medicamento
2831,ES100284.xml,prednisona,319,329,B-Grp_Medicamento
2832,ES100284.xml,artralgias,407,417,B-Grp_Enfermedad
2834,ES100284.xml,dolor,466,471,B-Grp_Enfermedad
2838,ES100284.xml,claudicación,713,725,B-Grp_Enfermedad
2840,ES100284.xml,densitometría ósea,933,951,B-Estructura_Corporal
2841,ES100284.xml,DMO,953,956,B-Grp_Enfermedad
2842,ES100284.xml,osteoporosis,965,977,B-Grp_Enfermedad
2844,ES100284.xml,osteopenia,1018,1028,B-Grp_Enfermedad
2849,ES100284.xml,lesión osteocondral,1232,1251,B-Grp_Enfermedad
2852,ES100284.xml,irregularidades,1310,1325,B-Grp_Enfermedad
2854,ES100284.xml,lesiones,1399,1407,B-Grp_Enfermedad
2862,ES100284.xml,osteoporosis,1720,1732,B-Grp_Enfermedad
2863,ES100284.xml,corticoides,1754,1765,B-Grp_Medicamento
1568,ES100736.xml,leucemia linfoblástica aguda pre-B,75,109,B-Grp_Enfermedad
1569,ES100736.xml,tratamiento quimioterápico,132,158,B-Grp_Medicamento
1570,ES100736.xml,quimioterapia,186,199,B-Grp_Medicamento
1572,ES100736.xml,PL,233,235,B-Estructura_Corporal
1581,ES100736.xml,PL,1046,1048,B-Estructura_Corporal
1583,ES100736.xml,trombocitopenia,1186,1201,B-Grp_Enfermedad
1585,ES100736.xml,PL,1427,1429,B-Estructura_Corporal
1586,ES100736.xml,ciatalgia derecha,1465,1482,B-Grp_Enfermedad
1587,ES100736.xml,dolor radicular,1521,1536,B-Grp_Enfermedad
1588,ES100736.xml,pérdida de fuerza,1547,1564,B-Grp_Enfermedad
1590,ES100736.xml,paraparesia bilateral,1613,1634,B-Grp_Enfermedad
1594,ES100736.xml,hematoma ventral intradural extraparenquimatoso,1871,1918,B-Grp_Enfermedad
1599,ES100736.xml,lesión subyacente,2074,2091,B-Grp_Enfermedad
1601,ES100736.xml,gran tensión,2238,2250,B-Calificador
1603,ES100736.xml,coágulo sanguíneo subaracnoideo,2322,2353,B-Estructura_Corporal
1606,ES100736.xml,hematoma ventral,2464,2480,B-Grp_Enfermedad
1608,ES100736.xml,incisión longitudinal,2557,2578,B-Grp_Enfermedad
1611,ES100736.xml,coágulo,2667,2674,B-Grp_Enfermedad
1613,ES100736.xml,lesiones macroscópicas,2828,2850,B-Grp_Enfermedad
1617,ES100736.xml,alteraciones esfinterianas,3171,3197,B-Grp_Enfermedad
1618,ES100736.xml,dolor radicular,3201,3216,B-Grp_Enfermedad
1622,ES100736.xml,fracaso multiorgánico,3493,3514,B-Grp_Enfermedad
188,ES100050.xml,tumoración ligeramente,75,97,B-Grp_Enfermedad
191,ES100050.xml,aumento testicular,205,223,B-Grp_Enfermedad
193,ES100050.xml,nódulos tumorales,371,388,B-Grp_Enfermedad
195,ES100050.xml,áreas quísticas,492,507,B-Grp_Enfermedad
196,ES100050.xml,calcificaciones,510,525,B-Grp_Enfermedad
197,ES100050.xml,nódulo era sólido,537,554,B-Grp_Enfermedad
198,ES100050.xml,hipoecoico,555,565,B-Grp_Enfermedad
199,ES100050.xml,nódulos,611,618,B-Grp_Enfermedad
200,ES100050.xml,aumento de la vascularización,634,663,B-Grp_Enfermedad
203,ES100050.xml,nódulos,803,810,B-Grp_Enfermedad
204,ES100050.xml,carcinoma,863,872,B-Grp_Enfermedad
205,ES100050.xml,masas pardo-blanquecinas,925,949,B-Grp_Enfermedad
206,ES100050.xml,cavidades,955,964,B-Estructura_Corporal
207,ES100050.xml,calcificaciones,998,1013,B-Grp_Enfermedad
209,ES100050.xml,seminoma clásico,1069,1085,B-Grp_Enfermedad
2374,ES100642.xml,adenocarcinoma gástrico,57,80,B-Grp_Enfermedad
2375,ES100642.xml,quimioterapia neodyuvante,86,111,B-Grp_Medicamento
2376,ES100642.xml,alergia,258,265,B-Alergia
2381,ES100642.xml,deterioro neurológico,523,544,B-Grp_Enfermedad
2382,ES100642.xml,desorientación,560,574,B-Grp_Enfermedad
2383,ES100642.xml,bradipsiquia,576,588,B-Grp_Enfermedad
2384,ES100642.xml,tendencia al sueño,590,608,B-Grp_Enfermedad
2385,ES100642.xml,nistagmus horizontal,610,630,B-Grp_Enfermedad
2386,ES100642.xml,oftalmoparesia,633,647,B-Grp_Enfermedad
1875,ES100091.xml,sudoración,69,79,B-Grp_Enfermedad
1876,ES100091.xml,fiebre,82,88,B-Grp_Enfermedad
1877,ES100091.xml,dolor lumbar izquierdo,93,115,B-Grp_Enfermedad
1878,ES100091.xml,disuria,151,158,B-Grp_Enfermedad
1879,ES100091.xml,DM,261,263,B-Grp_Enfermedad
1880,ES100091.xml,HTA,268,271,B-Grp_Enfermedad
1881,ES100091.xml,alergias,276,284,B-Alergia
1882,ES100091.xml,hematuria,321,330,B-Grp_Enfermedad
1883,ES100091.xml,cólicos,335,342,B-Grp_Enfermedad
1884,ES100091.xml,ITUs,347,351,B-Grp_Enfermedad
1885,ES100091.xml,febrícula,401,410,B-Grp_Enfermedad
1886,ES100091.xml,sudoración,422,432,B-Grp_Enfermedad
1888,ES100091.xml,dolor lumbar,466,478,B-Grp_Enfermedad
1889,ES100091.xml,clínica miccional,496,513,B-Grp_Enfermedad
1890,ES100091.xml,disuria,536,543,B-Grp_Enfermedad
1891,ES100091.xml,no goteo,562,570,B-Calificador
1893,ES100091.xml,sensación de vacuidad,657,678,B-Grp_Enfermedad
1895,ES100091.xml,efecto masa,744,755,B-Grp_Enfermedad
1899,ES100091.xml,lesiones,839,847,B-Grp_Enfermedad
1900,ES100091.xml,Eosinofilia,934,945,B-Grp_Enfermedad
1902,ES100091.xml,efecto masa,1047,1058,B-Grp_Enfermedad
1906,ES100091.xml,quistes,1152,1159,B-Grp_Enfermedad
1909,ES100091.xml,lesiones quísticas,1216,1234,B-Grp_Enfermedad
1911,ES100091.xml,enfermedad hidatídica renal,1271,1298,B-Grp_Enfermedad
1913,ES100091.xml,comunicación del quíste hidatídico,1763,1797,B-Grp_Enfermedad
1915,ES100091.xml,caída,1978,1983,B-Grp_Enfermedad
1916,ES100091.xml,enfermedad,2110,2120,B-Grp_Enfermedad
260,ES100278.xml,edemas,56,62,B-Grp_Enfermedad
261,ES100278.xml,amiloidosis renal,110,127,B-Grp_Enfermedad
263,ES100278.xml,amiloidosis AA,244,258,B-Grp_Enfermedad
265,ES100278.xml,edemas bimaleolares,492,511,B-Grp_Enfermedad
266,ES100278.xml,síndrome nefrótico,594,612,B-Grp_Enfermedad
269,ES100278.xml,glomérulos,910,920,B-Estructura_Corporal
270,ES100278.xml,depósito hialino,972,988,B-Grp_Enfermedad
272,ES100278.xml,tioflavina,1047,1057,B-Grp_Medicamento
274,ES100278.xml,amiloidosis,1159,1170,B-Grp_Enfermedad
276,ES100278.xml,transtirretina,1419,1433,B-Grp_Medicamento
277,ES100278.xml,depósitos,1533,1542,B-Grp_Enfermedad
279,ES100278.xml,cadena,1583,1589,B-Estructura_Corporal
280,ES100278.xml,mutación,1681,1689,B-Grp_Enfermedad
282,ES100278.xml,mutación,1741,1749,B-Grp_Enfermedad
285,ES100278.xml,depósito glomerular,1890,1909,B-Grp_Enfermedad
286,ES100278.xml,depósito masivo,1926,1941,B-Grp_Enfermedad
288,ES100278.xml,depósito,1962,1970,B-Grp_Enfermedad
292,ES100278.xml,afectación cardiaca,2367,2386,B-Grp_Enfermedad
293,ES100278.xml,neuropatía autonómica,2390,2411,B-Grp_Enfermedad
294,ES100278.xml,aumento progresivo,2443,2461,B-Calificador
295,ES100278.xml,afectación hepática,2493,2512,B-Grp_Enfermedad
296,ES100278.xml,afectación,2591,2601,B-Grp_Enfermedad
303,ES100278.xml,rotura esplénica,2968,2984,B-Grp_Enfermedad
304,ES100278.xml,enfermedad,3007,3017,B-Grp_Enfermedad
305,ES100278.xml,depósito,3023,3031,B-Grp_Enfermedad
1959,ES100791.xml,hernia discal,52,65,B-Grp_Enfermedad
1961,ES100791.xml,fentanilo genérico,167,185,B-Grp_Medicamento
1962,ES100791.xml,empeoramiento,200,213,B-Grp_Enfermedad
1964,ES100791.xml,analgesia,297,306,B-Grp_Medicamento
150,ES100578.xml,infección,21,30,B-Grp_Enfermedad
153,ES100578.xml,astenia,148,155,B-Grp_Enfermedad
154,ES100578.xml,lesiones cutáneas,174,191,B-Grp_Enfermedad
157,ES100578.xml,esplenomegalia,303,317,B-Grp_Enfermedad
160,ES100578.xml,leucocitos,542,552,B-Estructura_Corporal
161,ES100578.xml,plaquetas,581,590,B-Estructura_Corporal
164,ES100578.xml,hipertrofia,698,709,B-Grp_Enfermedad
168,ES100578.xml,varices esofágicas,801,819,B-Grp_Enfermedad
170,ES100578.xml,gastropatía hipertensión portal,847,881,B-Grp_Enfermedad
171,ES100578.xml,terapia,910,917,B-Grp_Medicamento
173,ES100578.xml,empeoramiento,1095,1108,B-Grp_Enfermedad
175,ES100578.xml,disnea de moderados esfuerzos,1125,1154,B-Grp_Enfermedad
176,ES100578.xml,síndrome hepatopulmonar,1176,1199,B-Grp_Enfermedad
180,ES100578.xml,cortocircuito cardiaco,1423,1445,B-Calificador
181,ES100578.xml,síndrome hepatopulmonar,1492,1515,B-Grp_Enfermedad
182,ES100578.xml,sangrado,1563,1571,B-Grp_Enfermedad
185,ES100578.xml,sangrado,1763,1771,B-Grp_Enfermedad
186,ES100578.xml,sangrado,1865,1873,B-Grp_Enfermedad
110,ES100587.xml,bebedor,107,114,B-Grp_Enfermedad
111,ES100587.xml,fumador,119,126,B-Grp_Enfermedad
112,ES100587.xml,Amigdalitis de repetición,128,153,B-Grp_Enfermedad
113,ES100587.xml,Hábito intestinal,213,230,B-Grp_Enfermedad
115,ES100587.xml,elevación persistente,267,288,B-Grp_Enfermedad
117,ES100587.xml,atrofia moderada,378,394,B-Grp_Enfermedad
119,ES100587.xml,infiltrado inflamatorio importante,443,477,B-Grp_Enfermedad
2581,ES100182.xml,trauma cráneo-encefálico,70,94,B-Grp_Enfermedad
