,file,string,begin,end,type
65,ES100098.xml,vejiga,717,723,B-Estructura_Corporal
66,ES100098.xml,divertículo,732,743,B-Grp_Enfermedad
70,ES100098.xml,cara lateral,965,977,B-Estructura_Corporal
76,ES100098.xml,bajo grado,1615,1625,B-Calificador
78,ES100098.xml,gran aumento,1652,1664,B-Calificador
80,ES100098.xml,necrosis intratumoral,1706,1727,B-Grp_Enfermedad
81,ES100098.xml,necrosis celular,1752,1768,B-Grp_Enfermedad
82,ES100098.xml,mixoide,1803,1810,B-Estructura_Corporal
84,ES100098.xml,peritumoral,1840,1851,B-Estructura_Corporal
86,ES100098.xml,pared diverticular,1891,1909,B-Estructura_Corporal
87,ES100098.xml,tejido adiposo peridiverticular,1919,1950,B-Estructura_Corporal
88,ES100098.xml,fibrosa peritumoral,1971,1990,B-Grp_Enfermedad
91,ES100098.xml,muscular,2130,2138,B-Estructura_Corporal
97,ES100098.xml,bajo grado,2309,2319,B-Calificador
98,ES100098.xml,infiltración,2324,2336,B-Grp_Enfermedad
99,ES100098.xml,toracoabdominal,2574,2589,B-Estructura_Corporal
100,ES100098.xml,ósea,2607,2611,B-Estructura_Corporal
101,ES100098.xml,pélvica,2622,2629,B-Estructura_Corporal
108,ES100098.xml,urinaria,3119,3127,B-Estructura_Corporal
114,ES100587.xml,ligera,260,266,B-Calificador
116,ES100587.xml,duodenal,362,370,B-Estructura_Corporal
118,ES100587.xml,vellosidades intestinales,402,427,B-Estructura_Corporal
120,ES100587.xml,estadio 3b,508,518,B-Calificador
123,ES100705.xml,paladar,271,278,B-Estructura_Corporal
124,ES100705.xml,duro,279,283,B-Grp_Enfermedad
127,ES100705.xml,intraoral,450,459,B-Estructura_Corporal
129,ES100705.xml,unión del paladar primario,498,524,B-Estructura_Corporal
130,ES100705.xml,colgajo lingual de base anterior,642,674,B-Grp_Enfermedad
132,ES100705.xml,anestesia,728,737,B-Grp_Medicamento
133,ES100705.xml,nasotraqueal,761,773,B-Estructura_Corporal
135,ES100705.xml,mucosa,884,890,B-Estructura_Corporal
138,ES100705.xml,lengua,1146,1152,B-Estructura_Corporal
139,ES100705.xml,platina acrílica,1159,1175,B-Grp_Medicamento
140,ES100705.xml,lengua,1253,1259,B-Estructura_Corporal
141,ES100705.xml,colgajo,1287,1294,B-Estructura_Corporal
142,ES100705.xml,colgajo lingual,1319,1334,B-Estructura_Corporal
143,ES100705.xml,colgajo,1423,1430,B-Estructura_Corporal
148,ES100705.xml,pequeña,1745,1752,B-Calificador
151,ES100578.xml,hepatitis C,50,61,B-Grp_Enfermedad
152,ES100578.xml,genotipo,63,71,B-Calificador
155,ES100578.xml,tórax,195,200,B-Estructura_Corporal
156,ES100578.xml,destaca ligera,288,302,B-Grp_Enfermedad
158,ES100578.xml,región nasal,347,359,B-Estructura_Corporal
159,ES100578.xml,tórax,362,367,B-Estructura_Corporal
162,ES100578.xml,abdominal,641,650,B-Estructura_Corporal
163,ES100578.xml,hígado,652,658,B-Estructura_Corporal
165,ES100578.xml,lóbulo,714,720,B-Estructura_Corporal
166,ES100578.xml,Bazo,756,760,B-Estructura_Corporal
167,ES100578.xml,digestiva,782,791,B-Estructura_Corporal
169,ES100578.xml,gástricas,823,832,B-Estructura_Corporal
172,ES100578.xml,ribavirina,968,978,B-Grp_Medicamento
174,ES100578.xml,astenia,1115,1122,B-Grp_Enfermedad
177,ES100578.xml,arterial,1226,1234,B-Estructura_Corporal
178,ES100578.xml,contraste,1322,1331,B-Grp_Medicamento
179,ES100578.xml,aurícula derecha,1380,1396,B-Estructura_Corporal
183,ES100578.xml,tórax,1602,1607,B-Estructura_Corporal
184,ES100578.xml,tamoxifeno,1724,1734,B-Grp_Medicamento
187,ES100578.xml,lesiones,1905,1913,B-Grp_Enfermedad
189,ES100050.xml,dolorosa,98,106,B-Grp_Enfermedad
190,ES100050.xml,testículo derecho,113,130,B-Estructura_Corporal
192,ES100050.xml,testículo izquierdo,248,267,B-Estructura_Corporal
194,ES100050.xml,sólidos,451,458,B-Grp_Medicamento
201,ES100050.xml,arteriales de baja,675,693,B-Estructura_Corporal
202,ES100050.xml,resistencia,694,705,B-Grp_Enfermedad
208,ES100050.xml,necrosis,1025,1033,B-Grp_Enfermedad
211,ES100994.xml,miomas,133,139,B-Grp_Enfermedad
213,ES100994.xml,cuello femoral,278,292,B-Estructura_Corporal
214,ES100994.xml,hábitos tóxicos,357,372,B-Grp_Enfermedad
217,ES100994.xml,pie izquierdo,483,496,B-Estructura_Corporal
218,ES100994.xml,inflamación,519,530,B-Grp_Enfermedad
219,ES100994.xml,AINEs,623,628,B-Grp_Medicamento
221,ES100994.xml,antepié izquierdo,718,735,B-Estructura_Corporal
222,ES100994.xml,pies,785,789,B-Estructura_Corporal
223,ES100994.xml,pies,818,822,B-Estructura_Corporal
225,ES100994.xml,pie izquierdo,885,898,B-Estructura_Corporal
228,ES100994.xml,vitamina D,1067,1077,B-Grp_Medicamento
229,ES100994.xml,renal,1187,1192,B-Estructura_Corporal
230,ES100994.xml,urinario,1215,1223,B-Estructura_Corporal
231,ES100994.xml,vitamina D,1288,1298,B-Grp_Medicamento
232,ES100994.xml,AINEs,1420,1425,B-Grp_Medicamento
233,ES100994.xml,magnetoterapia,1428,1442,B-Grp_Medicamento
235,ES100994.xml,lumbar,1545,1551,B-Estructura_Corporal
236,ES100994.xml,SERMS,1613,1618,B-Grp_Medicamento
237,ES100994.xml,bazedoxifeno,1620,1632,B-Grp_Medicamento
238,ES100994.xml,vitamina,1673,1681,B-Grp_Medicamento
240,ES100994.xml,pie izquierdo,1810,1823,B-Estructura_Corporal
241,ES100994.xml,fractura,1890,1898,B-Grp_Enfermedad
243,ES100994.xml,pie izquierdo,1987,2000,B-Estructura_Corporal
245,ES100994.xml,escafoides,2081,2091,B-Grp_Enfermedad
246,ES100994.xml,astrágalo,2094,2103,B-Grp_Enfermedad
248,ES100994.xml,tibial posterior,2125,2141,B-Estructura_Corporal
249,ES100994.xml,ósea,2179,2183,B-Estructura_Corporal
250,ES100994.xml,columna lumbar,2211,2225,B-Estructura_Corporal
251,ES100994.xml,bazedoxifeno,2286,2298,B-Grp_Medicamento
252,ES100994.xml,vitamina D,2304,2314,B-Grp_Medicamento
253,ES100994.xml,mineral ósea,2401,2413,B-Estructura_Corporal
259,ES100994.xml,pie izquierdo,3077,3090,B-Estructura_Corporal
262,ES100278.xml,renal,165,170,B-Estructura_Corporal
264,ES100278.xml,arterial,466,474,B-Estructura_Corporal
267,ES100278.xml,renal,848,853,B-Estructura_Corporal
268,ES100278.xml,renal,887,892,B-Estructura_Corporal
271,ES100278.xml,disposición nodular,992,1011,B-Grp_Enfermedad
273,ES100278.xml,vasos,1077,1082,B-Estructura_Corporal
275,ES100278.xml,sustancia amiloide común,1286,1310,B-Estructura_Corporal
278,ES100278.xml,sustancia amiloide,1546,1564,B-Estructura_Corporal
281,ES100278.xml,cadena,1706,1712,B-Estructura_Corporal
283,ES100278.xml,AI,1806,1808,B-Estructura_Corporal
284,ES100278.xml,AI,1814,1816,B-Estructura_Corporal
287,ES100278.xml,medular,1950,1957,B-Estructura_Corporal
289,ES100278.xml,medular,1979,1986,B-Estructura_Corporal
290,ES100278.xml,AI,2064,2066,B-Estructura_Corporal
291,ES100278.xml,AI,2274,2276,B-Estructura_Corporal
297,ES100278.xml,renal,2618,2623,B-Estructura_Corporal
298,ES100278.xml,hepática,2626,2634,B-Estructura_Corporal
299,ES100278.xml,renal,2681,2686,B-Estructura_Corporal
300,ES100278.xml,renal,2739,2744,B-Estructura_Corporal
301,ES100278.xml,peritoneal,2824,2834,B-Estructura_Corporal
302,ES100278.xml,renal,2900,2905,B-Estructura_Corporal
306,ES100278.xml,bazo,3047,3051,B-Estructura_Corporal
311,ES100447.xml,disminuida,301,311,B-Grp_Enfermedad
313,ES100447.xml,progresión,511,521,B-Grp_Enfermedad
315,ES100447.xml,ojo rojo,591,599,B-Estructura_Corporal
317,ES100447.xml,ambos ojos,656,666,B-Estructura_Corporal
320,ES100447.xml,ambos ojos,777,787,B-Estructura_Corporal
321,ES100447.xml,corneal,862,869,B-Estructura_Corporal
322,ES100447.xml,fluoresceína,888,900,B-Grp_Medicamento
326,ES100447.xml,pancreáticos,1255,1267,B-Estructura_Corporal
327,ES100447.xml,intramuscular,1331,1344,B-Estructura_Corporal
332,ES100447.xml,intramuscular,1772,1785,B-Estructura_Corporal
335,ES100412.xml,ojo izquierdo,139,152,B-Estructura_Corporal
337,ES100412.xml,ángulo iridocorneal,216,235,B-Estructura_Corporal
339,ES100412.xml,masa,362,366,B-Grp_Enfermedad
340,ES100412.xml,cámara anterior,379,394,B-Estructura_Corporal
342,ES100412.xml,gran tamaño,443,454,B-Calificador
343,ES100412.xml,ocular,554,560,B-Estructura_Corporal
345,ES100412.xml,gran tamaño,606,617,B-Calificador
347,ES100412.xml,discretamente,710,723,B-Calificador
348,ES100412.xml,hiperintensa,724,736,B-Grp_Enfermedad
349,ES100412.xml,hipointensa,745,756,B-Grp_Enfermedad
351,ES100412.xml,coroides,809,817,B-Grp_Medicamento
353,ES100412.xml,ocular,1126,1132,B-Estructura_Corporal
355,ES100412.xml,ocular,1263,1269,B-Estructura_Corporal
356,ES100412.xml,ocular,1313,1319,B-Estructura_Corporal
358,ES100412.xml,binocular,1469,1478,B-Estructura_Corporal
359,ES100412.xml,ocular,1533,1539,B-Estructura_Corporal
361,ES100412.xml,crecimiento endofítico,1575,1597,B-Grp_Enfermedad
362,ES100412.xml,coroides,1630,1638,B-Estructura_Corporal
363,ES100412.xml,cuerpo ciliar,1659,1672,B-Estructura_Corporal
364,ES100412.xml,iris,1675,1679,B-Grp_Enfermedad
366,ES100412.xml,epitelioides,1758,1770,B-Estructura_Corporal
367,ES100412.xml,citoplasma,1775,1785,B-Grp_Medicamento
368,ES100412.xml,núcleos ovalados,1806,1822,B-Grp_Enfermedad
370,ES100412.xml,necróticos,1957,1967,B-Grp_Enfermedad
373,ES100412.xml,pared escleral,2075,2089,B-Estructura_Corporal
376,ES100737.xml,ojo izquierdo,297,310,B-Estructura_Corporal
378,ES100737.xml,ojo izquierdo,475,488,B-Estructura_Corporal
379,ES100737.xml,ocular,503,509,B-Estructura_Corporal
382,ES100737.xml,tórax,634,639,B-Estructura_Corporal
383,ES100737.xml,cráneo,676,682,B-Estructura_Corporal
385,ES100737.xml,ventrículo lateral derecho,748,774,B-Estructura_Corporal
386,ES100737.xml,atrio,787,792,B-Estructura_Corporal
387,ES100737.xml,asta temporal,795,808,B-Grp_Enfermedad
390,ES100737.xml,circunvolución temporal media,1045,1074,B-Grp_Enfermedad
391,ES100737.xml,tumoración,1124,1134,B-Grp_Enfermedad
394,ES100737.xml,2-3-mitosis,1441,1442,B-Grp_Enfermedad
395,ES100737.xml,gran aumento,1469,1481,B-Calificador
397,ES100737.xml,anticuerpo,1585,1595,B-Grp_Medicamento
398,ES100737.xml,ojo derecho,1852,1863,B-Estructura_Corporal
408,ES100320.xml,VIH,209,212,B-Grp_Enfermedad
409,ES100320.xml,inmunológicos,267,280,B-Grp_Medicamento
414,ES100320.xml,supraclavicular derecha,473,496,B-Estructura_Corporal
418,ES100320.xml,VI polifocal,598,610,B-Estructura_Corporal
420,ES100320.xml,costal,643,649,B-Estructura_Corporal
422,ES100320.xml,neurológica,711,722,B-Estructura_Corporal
425,ES100320.xml,arterial,999,1007,B-Estructura_Corporal
426,ES100320.xml,tórax,1082,1087,B-Estructura_Corporal
428,ES100320.xml,tráquea,1165,1172,B-Estructura_Corporal
430,ES100320.xml,abdominal,1257,1266,B-Estructura_Corporal
431,ES100320.xml,torácico,1273,1281,B-Estructura_Corporal
432,ES100320.xml,abdominal,1283,1292,B-Estructura_Corporal
433,ES100320.xml,pélvico,1295,1302,B-Estructura_Corporal
435,ES100320.xml,gran,1381,1385,B-Calificador
437,ES100320.xml,vena cava superior,1427,1445,B-Estructura_Corporal
438,ES100320.xml,pulmonar,1467,1475,B-Estructura_Corporal
440,ES100320.xml,pared de asas intestinales,1509,1535,B-Estructura_Corporal
442,ES100320.xml,transtorácico,1613,1626,B-Estructura_Corporal
443,ES100320.xml,cotrimoxazol,1695,1707,B-Grp_Medicamento
444,ES100320.xml,levofloxacino,1709,1722,B-Grp_Medicamento
446,ES100320.xml,insuficiencia respiratoria,1896,1922,B-Grp_Enfermedad
449,ES100320.xml,craneal,2092,2099,B-Estructura_Corporal
451,ES100320.xml,pared gruesa,2126,2138,B-Estructura_Corporal
452,ES100320.xml,encrucijada témporo-parieto-occipital derecha,2181,2226,B-Estructura_Corporal
453,ES100320.xml,sulfadiacina,2252,2264,B-Grp_Medicamento
454,ES100320.xml,pirimetamina,2266,2278,B-Grp_Medicamento
455,ES100320.xml,fenitoína,2295,2304,B-Grp_Medicamento
457,ES100320.xml,lesión intracraneal,2399,2418,B-Grp_Enfermedad
458,ES100320.xml,adenopatía supraclavicular,2449,2475,B-Grp_Enfermedad
460,ES100320.xml,tumor maligno,2510,2523,B-Grp_Enfermedad
462,ES100320.xml,VIH,2645,2648,B-Grp_Enfermedad
466,ES100320.xml,hepatotropos,3000,3012,B-Estructura_Corporal
470,ES100320.xml,cerebral,3266,3274,B-Estructura_Corporal
471,ES100320.xml,intestinal,3277,3287,B-Estructura_Corporal
472,ES100320.xml,ganglionar,3331,3341,B-Estructura_Corporal
473,ES100320.xml,alfafetoproteina,3373,3389,B-Grp_Medicamento
475,ES100320.xml,células germinales extragonadal,3447,3478,B-Estructura_Corporal
477,ES100320.xml,cerebral,3553,3561,B-Estructura_Corporal
478,ES100320.xml,tumoral,3618,3625,B-Calificador
479,ES100320.xml,poliquimioterapia,3652,3669,B-Grp_Medicamento
480,ES100561.xml,BACTEC,181,187,B-Grp_Enfermedad
481,ES100561.xml,Mycobacterium tuberculosis,218,244,B-Grp_Enfermedad
482,ES100561.xml,origen español,318,332,B-Grp_Enfermedad
483,ES100561.xml,cara lateral externa,352,372,B-Estructura_Corporal
484,ES100561.xml,falange distal,379,393,B-Estructura_Corporal
485,ES100561.xml,dedo,398,402,B-Estructura_Corporal
486,ES100561.xml,herida,528,534,B-Grp_Enfermedad
487,ES100561.xml,VHC,891,894,B-Grp_Enfermedad
488,ES100561.xml,VIH,896,899,B-Grp_Enfermedad
489,ES100561.xml,hepatitis B,945,956,B-Grp_Enfermedad
490,ES100561.xml,tuberculosis,1046,1058,B-Grp_Enfermedad
492,ES100561.xml,eritematosa,1194,1205,B-Grp_Enfermedad
494,ES100561.xml,adenopatías axilares,1316,1320,B-Grp_Enfermedad
495,ES100561.xml,clínica general,1336,1339,B-Grp_Enfermedad
497,ES100561.xml,lesión,1427,1429,B-Grp_Enfermedad
498,ES100561.xml,lesión,1560,1561,B-Grp_Enfermedad
499,ES100561.xml,dermatitis granulomatosa,1618,1632,B-Grp_Enfermedad
500,ES100561.xml,necrosis,1646,1655,B-Grp_Enfermedad
501,ES100561.xml,dermatitis tuberculosa,1685,1697,B-Grp_Enfermedad
502,ES100561.xml,dermatitis granulomatosa,1754,1768,B-Grp_Enfermedad
503,ES100561.xml,dermatitis tuberculosa,1793,1805,B-Grp_Enfermedad
504,ES100561.xml,bacilos,1866,1871,B-Grp_Enfermedad
505,ES100561.xml,BACTEC,1919,1923,B-Grp_Medicamento
506,ES100561.xml,crecimiento,1955,1957,B-Grp_Enfermedad
507,ES100561.xml,Mycobacterium tuberculosis,1972,1985,B-Grp_Enfermedad
508,ES100561.xml,ambas cepas,2170,2176,B-Estructura_Corporal
510,ES100561.xml,antituberculoso,2391,2406,B-Grp_Medicamento
511,ES100561.xml,rifampicina,2411,2422,B-Grp_Medicamento
512,ES100561.xml,isoniazida,2445,2455,B-Grp_Medicamento
513,ES100561.xml,pirazinamida,2471,2483,B-Grp_Medicamento
516,ES100561.xml,Enfermedad Profesional,2875,2897,B-Grp_Enfermedad
519,ES100417.xml,pequeña,114,121,B-Calificador
521,ES100417.xml,ojo derecho,137,148,B-Estructura_Corporal
522,ES100417.xml,OD,150,152,B-Estructura_Corporal
523,ES100417.xml,ojo izquierdo,158,171,B-Estructura_Corporal
524,ES100417.xml,OI,173,175,B-Estructura_Corporal
527,ES100417.xml,OD,228,230,B-Estructura_Corporal
528,ES100417.xml,OI,256,258,B-Estructura_Corporal
529,ES100417.xml,OI,275,277,B-Estructura_Corporal
531,ES100417.xml,luminoso,331,339,B-Estructura_Corporal
533,ES100417.xml,ambos ojos,402,412,B-Estructura_Corporal
536,ES100417.xml,ambos ojos,704,714,B-Estructura_Corporal
538,ES100417.xml,ambas máculas,784,797,B-Estructura_Corporal
539,ES100417.xml,mitad temporal,823,837,B-Estructura_Corporal
541,ES100417.xml,antigua,870,877,B-Grp_Medicamento
542,ES100417.xml,OD,907,909,B-Estructura_Corporal
543,ES100417.xml,tejido glial blanquecino,951,975,B-Grp_Enfermedad
545,ES100417.xml,OI,1099,1101,B-Estructura_Corporal
547,ES100417.xml,vasos,1173,1178,B-Estructura_Corporal
548,ES100417.xml,coroideos,1209,1218,B-Estructura_Corporal
549,ES100417.xml,pigmento,1251,1259,B-Grp_Enfermedad
551,ES100417.xml,retina,1301,1307,B-Estructura_Corporal
554,ES100417.xml,cráneo,1398,1404,B-Estructura_Corporal
556,ES100417.xml,Toxoplasma,1513,1523,B-Grp_Enfermedad
557,ES100417.xml,Citomegalovirus,1534,1549,B-Grp_Medicamento
558,ES100417.xml,Herpes,1552,1558,B-Grp_Enfermedad
559,ES100417.xml,sífilis,1561,1568,B-Grp_Enfermedad
560,ES100417.xml,coriomeningitis linfocitaria,1583,1611,B-Grp_Enfermedad
562,ES100417.xml,EIA,1723,1726,B-Grp_Enfermedad
564,ES100417.xml,EIA,1815,1818,B-Grp_Enfermedad
566,ES100417.xml,EIA,1902,1905,B-Grp_Enfermedad
568,ES100417.xml,EIA,1993,1996,B-Grp_Enfermedad
569,ES100417.xml,títulos elevados,2056,2072,B-Grp_Enfermedad
570,ES100417.xml,EIA,2109,2112,B-Grp_Enfermedad
572,ES100417.xml,EIA,2245,2248,B-Grp_Enfermedad
573,ES100417.xml,coriomeningitis linfocitaria,2263,2291,B-Grp_Enfermedad
578,ES100417.xml,ojo,2639,2642,B-Estructura_Corporal
582,ES100417.xml,OD,2924,2926,B-Estructura_Corporal
583,ES100417.xml,OI,2976,2978,B-Estructura_Corporal
584,ES100417.xml,OD,3118,3120,B-Estructura_Corporal
585,ES100417.xml,coloboma del OD,3194,3209,B-Estructura_Corporal
586,ES100417.xml,ocular,3249,3255,B-Estructura_Corporal
590,ES100420.xml,temporal,91,99,B-Estructura_Corporal
591,ES100420.xml,glucocorticoides,136,152,B-Grp_Medicamento
593,ES100420.xml,AV,238,240,B-Estructura_Corporal
597,ES100420.xml,ojo derecho,300,311,B-Estructura_Corporal
598,ES100420.xml,OD,313,315,B-Estructura_Corporal
600,ES100420.xml,OD,398,400,B-Estructura_Corporal
601,ES100420.xml,ojo izquierdo,413,426,B-Estructura_Corporal
602,ES100420.xml,OI,428,430,B-Estructura_Corporal
604,ES100420.xml,OD,488,490,B-Estructura_Corporal
605,ES100420.xml,Existía leve,492,504,B-Grp_Enfermedad
607,ES100420.xml,OD,568,570,B-Estructura_Corporal
608,ES100420.xml,vertical,584,592,B-Estructura_Corporal
609,ES100420.xml,leve,595,599,B-Calificador
610,ES100420.xml,párpados,627,635,B-Estructura_Corporal
612,ES100420.xml,intraocular,669,680,B-Estructura_Corporal
613,ES100420.xml,OD,735,737,B-Estructura_Corporal
614,ES100420.xml,OI,754,756,B-Estructura_Corporal
618,ES100420.xml,ambos ojos,863,873,B-Estructura_Corporal
621,ES100420.xml,músculos recto inferior,1027,1050,B-Estructura_Corporal
622,ES100420.xml,recto lateral del OD,1053,1073,B-Estructura_Corporal
623,ES100420.xml,grasa orbitaria,1141,1156,B-Estructura_Corporal
624,ES100420.xml,celdillas etmoidales posteriores,1184,1216,B-Estructura_Corporal
625,ES100420.xml,fosa pterigomaxilar,1225,1244,B-Estructura_Corporal
626,ES100420.xml,metilprednisolona,1285,1302,B-Grp_Medicamento
629,ES100420.xml,pupilares,1600,1609,B-Estructura_Corporal
631,ES100420.xml,fosa pterigopalatina,1700,1720,B-Estructura_Corporal
632,ES100420.xml,vértice,1727,1734,B-Estructura_Corporal
633,ES100420.xml,leve,1749,1753,B-Calificador
635,ES100420.xml,músculos recto inferior,1782,1805,B-Estructura_Corporal
636,ES100420.xml,recto,1808,1813,B-Estructura_Corporal
640,ES100840.xml,vaginal,173,180,B-Estructura_Corporal
644,ES100840.xml,abdomen,555,562,B-Estructura_Corporal
649,ES100840.xml,hemiabdomen derecho,632,651,B-Estructura_Corporal
650,ES100840.xml,inferior derecho,677,693,I-Estructura_Corporal
654,ES100840.xml,discreta,836,844,B-Calificador
656,ES100840.xml,granulocítico,873,886,B-Estructura_Corporal
657,ES100840.xml,renal,961,966,B-Estructura_Corporal
658,ES100840.xml,hepáticos,976,985,B-Estructura_Corporal
659,ES100840.xml,abdominales,1039,1050,B-Estructura_Corporal
661,ES100840.xml,asas del intestino delgado,1097,1123,B-Estructura_Corporal
662,ES100840.xml,colon,1175,1180,B-Estructura_Corporal
663,ES100840.xml,ampolla rectal,1183,1197,B-Estructura_Corporal
666,ES100840.xml,abdominal,1261,1270,B-Estructura_Corporal
669,ES100840.xml,asas intestinales,1368,1385,B-Estructura_Corporal
670,ES100840.xml,abdominal,1397,1406,B-Estructura_Corporal
672,ES100840.xml,asas de ID,1446,1456,B-Estructura_Corporal
673,ES100840.xml,ileon terminal,1469,1483,B-Estructura_Corporal
674,ES100840.xml,ileon preterminal,1501,1518,B-Estructura_Corporal
675,ES100840.xml,FID,1531,1534,B-Estructura_Corporal
676,ES100840.xml,colon,1556,1561,B-Estructura_Corporal
677,ES100840.xml,dilatado,1565,1573,B-Grp_Enfermedad
679,ES100840.xml,líquido libre,1630,1643,B-Grp_Enfermedad
680,ES100840.xml,saco de Douglas,1656,1671,B-Estructura_Corporal
681,ES100840.xml,útero,1673,1678,B-Estructura_Corporal
682,ES100840.xml,miomatoso,1679,1688,B-Grp_Enfermedad
684,ES100840.xml,nasogástrica,1779,1791,B-Estructura_Corporal
688,ES100840.xml,líquido libre seroso,2043,2063,B-Grp_Enfermedad
690,ES100840.xml,asas de ID,2079,2089,B-Estructura_Corporal
692,ES100840.xml,ileon terminal,2121,2135,B-Estructura_Corporal
693,ES100840.xml,válvula ileocecal,2153,2170,B-Estructura_Corporal
694,ES100840.xml,aspecto tumoral,2175,2190,B-Grp_Enfermedad
696,ES100840.xml,útero,2293,2298,B-Estructura_Corporal
697,ES100840.xml,miomatoso,2299,2308,B-Grp_Enfermedad
698,ES100840.xml,ileocecal,2331,2340,B-Estructura_Corporal
699,ES100840.xml,fondo de saco de Douglas,2413,2437,B-Estructura_Corporal
700,ES100840.xml,ileon terminal,2538,2552,B-Estructura_Corporal
701,ES100840.xml,ciego,2555,2560,B-Estructura_Corporal
704,ES100840.xml,pared,2613,2618,B-Estructura_Corporal
705,ES100840.xml,epitelio glandular,2667,2685,B-Estructura_Corporal
706,ES100840.xml,tipo endometrioide,2689,2707,B-Calificador
710,ES100840.xml,pared intestinal,2814,2830,B-Estructura_Corporal
712,ES100840.xml,musculares,2864,2874,B-Estructura_Corporal
713,ES100840.xml,ganglios linfáticos,2876,2895,B-Estructura_Corporal
716,ES100840.xml,Obstetricia,3092,3103,B-Grp_Enfermedad
718,ES100809.xml,medicamentosas,74,88,B-Grp_Medicamento
719,ES100809.xml,inguinal,123,131,B-Estructura_Corporal
722,ES100809.xml,respiratoria,495,507,B-Estructura_Corporal
723,ES100809.xml,hemodinámica,513,525,I-Grp_Enfermedad
724,ES100809.xml,sanguínea,627,636,B-Grp_Enfermedad
725,ES100809.xml,tórax,806,811,B-Estructura_Corporal
727,ES100809.xml,pelvis,877,883,B-Estructura_Corporal
728,ES100809.xml,cervical,890,898,B-Estructura_Corporal
729,ES100809.xml,abdominopélvico,901,916,B-Estructura_Corporal
731,ES100809.xml,rama isquiopubiana izquierda,956,984,B-Estructura_Corporal
734,ES100809.xml,articulación sacroiliaca derecha,1053,1085,B-Estructura_Corporal
735,ES100809.xml,pequeña avulsión ósea,1090,1111,B-Calificador
736,ES100809.xml,iliaco superomedial,1122,1141,B-Estructura_Corporal
738,ES100809.xml,espacios intersomáticos,1175,1198,B-Estructura_Corporal
739,ES100809.xml,L4-L5,1202,1204,B-Estructura_Corporal
740,ES100809.xml,L5-S1,1213,1215,B-Estructura_Corporal
741,ES100809.xml,pequeña,1233,1240,B-Calificador
744,ES100809.xml,pupilas,1390,1397,B-Estructura_Corporal
745,ES100809.xml,respiratoria,1466,1478,B-Estructura_Corporal
749,ES100809.xml,enzimas hepáticas,1875,1892,B-Grp_Enfermedad
756,ES100809.xml,región torácica derecha,2588,2611,B-Estructura_Corporal
757,ES100809.xml,pelvis derecha,2613,2627,B-Estructura_Corporal
758,ES100809.xml,glútea,2630,2636,B-Estructura_Corporal
759,ES100809.xml,vegetativa,2750,2760,B-Estructura_Corporal
760,ES100809.xml,ligera,2870,2876,B-Calificador
762,ES100809.xml,analgésico,2973,2983,B-Grp_Medicamento
770,ES100809.xml,doloroso,3442,3450,B-Grp_Enfermedad
771,ES100650.xml,abdomino-pélvica,256,272,B-Estructura_Corporal
773,ES100650.xml,disposición retrouterina,332,356,B-Grp_Enfermedad
774,ES100650.xml,anejo derecho,384,397,B-Estructura_Corporal
776,ES100650.xml,ciego,530,535,B-Estructura_Corporal
777,ES100650.xml,blanquecina,576,587,B-Calificador
778,ES100650.xml,útero,620,625,B-Estructura_Corporal
