,file,id_event,string,begin,end,ALINK,TLINK,contextualAspect,contextualModality,degree,docTimeRel,eventType,permanence,polarity
30,ES100447.xml,4960,gravedad,1168,1176,0.0,0,0.0,HYPOTHETICAL-OTHER,0,BEFORE,0,FINITE,POS
31,ES100447.xml,4979,comienzó,1201,1209,5013.0,0,0.0,ACTUAL,0,BEFORE,ASPECTUAL,FINITE,POS
32,ES100447.xml,4996,tratamiento,1213,1224,0.0,5672 5675 5678 5681 5684 5687,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
33,ES100447.xml,5019,favorecer,1273,1282,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
34,ES100447.xml,5038,absorción,1286,1295,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
35,ES100447.xml,5057,espera,1301,1307,0.0,5500,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
36,ES100447.xml,5074,tratamiento,1319,1330,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
37,ES100447.xml,5093,mejoría,1364,1371,0.0,0,0.0,ACTUAL,LITTLE,BEFORE,0,FINITE,NEG
40,ES100447.xml,5148,nefrectomía,1483,1494,0.0,5506 5509,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
43,ES100447.xml,5203,proceso,1573,1580,0.0,5712 5715 5718,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
44,ES100447.xml,5220,refiere,1593,1600,0.0,0,0.0,ACTUAL,0,BEFORE,EVIDENTIAL,FINITE,POS
45,ES100447.xml,5239,mejoría,1612,1619,0.0,5516,0.0,ACTUAL,LITTLE,BEFORE,0,FINITE,POS
46,ES100447.xml,5256,suprimido,1659,1668,5307.0,0,0.0,ACTUAL,0,BEFORE,ASPECTUAL,FINITE,POS
47,ES100447.xml,5273,tratamiento,1669,1680,0.0,5522,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
48,ES100447.xml,5290,ayuno,1693,1698,0.0,5528,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
49,ES100447.xml,5313,administraron,1733,1746,0.0,5540,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
50,ES100447.xml,5330,mejoría,1803,1810,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
51,ES100447.xml,5349,manifestaciones,1860,1875,0.0,5546 5549 5552,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
52,ES100447.xml,5366,tardaron,1892,1900,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
53,ES100447.xml,5385,desaparecer,1915,1926,0.0,0,0.0,ACTUAL,0,BEFORE,0,FINITE,POS
54,ES100686.xml,1475,nacimiento,25,35,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
55,ES100686.xml,1490,mancha,45,51,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
56,ES100686.xml,1505,creció,104,110,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
58,ES100686.xml,1535,interesaba,247,257,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
59,ES100686.xml,1550,mirarse,333,340,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
62,ES100686.xml,1595,comenzó,403,410,1960.0,0,0.0,ACTUAL,0.0,BEFORE,ASPECTUAL,FINITE,POS
63,ES100686.xml,1613,tratar,413,419,0.0,1954,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
64,ES100686.xml,1628,sesiones,483,491,0.0,1965 1968,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
65,ES100686.xml,1643,exéresis,538,546,0.0,1975,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
66,ES100686.xml,1658,incisión,590,598,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
67,ES100686.xml,1673,evolución,618,627,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
68,ES100686.xml,1688,sastifactoria,647,660,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
69,ES100526.xml,4467,consulta,32,40,0.0,5668,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
71,ES100526.xml,4501,tratamiento,77,88,0.0,5470,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
72,ES100526.xml,4518,Refiere,117,124,0.0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
73,ES100526.xml,4546,sesiones,169,177,0.0,5482,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
74,ES100526.xml,4563,infiltración,284,296,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
75,ES100526.xml,4582,comenzó,297,304,5498.0,5674 5677,0.0,ACTUAL,0.0,BEFORE,ASPECTUAL,FINITE,POS
77,ES100526.xml,4614,incrementaba,341,353,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
78,ES100526.xml,4633,erección,365,373,0.0,5504,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
79,ES100526.xml,4650,imposibilitaba,385,399,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
80,ES100526.xml,4669,coito,417,422,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,NEG
81,ES100526.xml,4688,examen,430,436,0.0,5684 5687,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
83,ES100526.xml,4722,palpación,564,573,0.0,5534,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
85,ES100526.xml,4758,palpan,610,616,0.0,5694,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
87,ES100526.xml,4792,exploración,679,690,0.0,5700 5703,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
88,ES100526.xml,4809,inclusión,721,730,0.0,5546,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
89,ES100526.xml,4826,refiere,744,751,0.0,5552,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
90,ES100526.xml,4843,orientan,768,776,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
92,ES100526.xml,4879,Solicitamos,821,832,0.0,5710 5713,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
93,ES100526.xml,4896,linfografia,865,876,0.0,5564,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
94,ES100526.xml,4913,descartar,897,906,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
96,ES100526.xml,4951,informe,932,939,0.0,5720,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
97,ES100526.xml,4968,indemnes,1006,1014,0.0,5570,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
98,ES100526.xml,4985,Tratamiento,1025,1036,0.0,5726 5729,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
99,ES100526.xml,5002,Planificamos,1049,1061,0.0,5576,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
100,ES100526.xml,5019,extirpación,1065,1076,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
103,ES100526.xml,5072,sonda,1186,1191,0.0,5736 5739,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
104,ES100526.xml,5089,control,1235,1242,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
105,ES100526.xml,5108,Incidimos,1339,1348,0.0,5746 5749,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
106,ES100526.xml,5125,disecar,1398,1405,0.0,5604 5607,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
107,ES100526.xml,5142,extirpar,1408,1416,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
109,ES100526.xml,5178,identificar,1462,1473,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
110,ES100526.xml,5197,dañar,1489,1494,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,NEG
111,ES100526.xml,5216,resección,1547,1556,0.0,5614 5617,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
112,ES100526.xml,5233,hemostasia,1602,1612,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
113,ES100526.xml,5252,cerramos,1625,1633,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
114,ES100526.xml,5271,incisión,1637,1645,0.0,5624,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
115,ES100526.xml,5288,drenaje,1728,1735,0.0,5756 5759,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
116,ES100526.xml,5305,finalizar,1740,1749,5630.0,5766,0.0,ACTUAL,0.0,BEFORE,ASPECTUAL,FINITE,POS
117,ES100526.xml,5320,intervención,1753,1765,0.0,5636,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
118,ES100526.xml,5337,visibles,1770,1778,0.0,5642,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
119,ES100526.xml,5354,cambios,1786,1793,0.0,5648,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
120,ES100526.xml,5371,estudio,1813,1820,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
121,ES100526.xml,5390,constató,1842,1850,0.0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
124,ES100526.xml,5426,focos,1944,1949,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
125,ES100042.xml,7162,Presentamos,0,11,0.0,0,0,ACTUAL,0,IS-CONTAINED,0,FINITE,POS
129,ES100042.xml,7289,histerectomía,121,134,0.0,9207,0,ACTUAL,0,BEFORE,0,FINITE,POS
130,ES100042.xml,7306,consultó,139,147,0.0,9183,0,ACTUAL,0,BEFORE,0,FINITE,POS
134,ES100042.xml,7378,urgencias,253,262,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
135,ES100042.xml,7397,sintomatología,296,310,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,NEG
137,ES100042.xml,7435,urocultivos,424,435,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
138,ES100042.xml,7454,tratados,456,464,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
139,ES100042.xml,7473,estudio,496,503,0.0,9235 9238 9241 9244 9247,0,ACTUAL,0,BEFORE,0,FINITE,POS
141,ES100042.xml,7509,estudio,565,572,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
143,ES100042.xml,7528,leucocituria,617,629,0.0,8619,0,ACTUAL,0,BEFORE,0,FINITE,POS
144,ES100042.xml,7564,urocultivo,631,641,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
145,ES100042.xml,8600,citología,683,692,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
146,ES100042.xml,7583,prescribió,835,845,0.0,9257 9260,0,ACTUAL,0,BEFORE,0,FINITE,POS
147,ES100042.xml,7600,tratamiento,846,857,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
148,ES100042.xml,7619,revisada,941,949,0.0,9267 9270,0,ACTUAL,0,BEFORE,0,FINITE,POS
149,ES100042.xml,7636,persistiendo,971,983,7668.0,8625,0,ACTUAL,0,BEFORE,ASPECTUAL,FINITE,POS
150,ES100042.xml,7651,sintomatología,987,1001,0.0,8631,0,ACTUAL,0,BEFORE,0,FINITE,POS
151,ES100042.xml,7674,mejorado,1049,1057,0.0,8643,0,ACTUAL,0,BEFORE,0,FINITE,POS
152,ES100042.xml,7691,urgencias,1074,1083,0.0,8658,0,ACTUAL,0,BEFORE,0,FINITE,POS
153,ES100042.xml,7708,revisión,1134,1142,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
156,ES100042.xml,7763,inició,1235,1241,7795.0,9277,0,ACTUAL,0,BEFORE,ASPECTUAL,FINITE,POS
157,ES100042.xml,7778,estudio,1245,1252,0.0,8728 8731 8734 8737,0,ACTUAL,0,BEFORE,0,FINITE,POS
158,ES100042.xml,7801,solicitando,1267,1278,0.0,8698,0,ACTUAL,0,BEFORE,0,FINITE,POS
161,ES100042.xml,7856,tumor,1316,1321,0.0,0,0,HYPOTHETICAL-OTHER,0,BEFORE,0,FINITE,POS
162,ES100042.xml,7875,ecografía,1398,1407,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
163,ES100042.xml,7894,cistoscopia,1464,1475,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
165,ES100042.xml,7932,lesiones,1498,1506,0.0,8746,0,ACTUAL,0,BEFORE,0,FINITE,POS
166,ES100042.xml,7949,edema,1603,1608,0.0,8752,0,ACTUAL,0,BEFORE,0,FINITE,POS
167,ES100042.xml,7966,hallazgo,1690,1698,0.0,8803,0,ACTUAL,0,BEFORE,0,FINITE,POS
168,ES100042.xml,7983,factores,1736,1744,0.0,8815,0,ACTUAL,0,BEFORE,0,FINITE,NEG
169,ES100042.xml,8000,urografía,1769,1778,0.0,8809,0,ACTUAL,0,BEFORE,0,FINITE,POS
170,ES100042.xml,8017,baciloscopia,1816,1828,0.0,9283 9286,0,ACTUAL,0,BEFORE,0,FINITE,POS
171,ES100042.xml,8034,cultivo,1840,1847,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
172,ES100042.xml,8053,lesiones,1946,1954,0.0,8827 8830,0,ACTUAL,0,BEFORE,0,FINITE,POS
173,ES100042.xml,8070,tuberculomas,2003,2015,0.0,0,0,HEDGED,0,BEFORE,0,FINITE,POS
174,ES100042.xml,8089,estudios,2030,2038,0.0,8837 8840 8843,0,ACTUAL,0,BEFORE,0,FINITE,POS
175,ES100042.xml,8106,resección,2092,2101,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
176,ES100042.xml,8125,anestesia,2145,2154,0.0,8851,0,ACTUAL,0,BEFORE,0,FINITE,POS
177,ES100042.xml,8142,estudio,2159,2166,0.0,9293,0,ACTUAL,0,BEFORE,0,FINITE,POS
179,ES100042.xml,8178,ulceración,2192,2202,0.0,8899,0,ACTUAL,0,BEFORE,0,FINITE,POS
180,ES100042.xml,8195,infiltrado,2231,2241,0.0,8905,0,ACTUAL,0,BEFORE,0,FINITE,POS
183,ES100042.xml,8246,divididos,2396,2405,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
184,ES100042.xml,8265,abundan,2432,2439,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
185,ES100042.xml,8303,llamado,2470,2477,0.0,0,0,GENERIC,0,CONTAINS,0,FINITE,POS
186,ES100042.xml,8284,denomina,2666,2674,0.0,0,0,GENERIC,0,CONTAINS,0,FINITE,POS
187,ES100042.xml,8322,indicó,2699,2705,0.0,9299 9302 9305 9308,0,ACTUAL,0,BEFORE,0,FINITE,POS
188,ES100042.xml,8339,medidas,2706,2713,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
190,ES100042.xml,8375,ciprofloxacino,2871,2885,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
191,ES100042.xml,8394,vitamina,2887,2895,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
192,ES100042.xml,8413,prednisona,2926,2936,0.0,9026,0,ACTUAL,0,BEFORE,0,FINITE,POS
193,ES100042.xml,8430,suspensión,3023,3033,8982.0,0,0,ACTUAL,0,BEFORE,ASPECTUAL,FINITE,POS
194,ES100042.xml,8447,protección,3059,3069,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
195,ES100042.xml,8466,mejoría,3125,3132,0.0,9317 9320,0,ACTUAL,0,BEFORE,0,FINITE,POS
196,ES100042.xml,8483,desaparición,3137,3149,0.0,9046,0,ACTUAL,0,BEFORE,0,FINITE,POS
197,ES100042.xml,8500,tratamiento,3214,3225,0.0,9052,0,ACTUAL,0,BEFORE,0,FINITE,POS
198,ES100042.xml,9058,finalización,3251,3263,9092.0,0,0,ACTUAL,0,BEFORE,ASPECTUAL,FINITE,POS
199,ES100042.xml,9075,tratamiento,3268,3279,0.0,9117,0,ACTUAL,0,BEFORE,0,FINITE,POS
200,ES100042.xml,7181,asintomática,3295,3307,0.0,0,0,ACTUAL,0,CONTAINS,0,FINITE,POS
201,ES100042.xml,7200,cistoscopia,3312,3323,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
202,ES100042.xml,7219,urocultivos,3344,3355,0.0,0,0,ACTUAL,0,BEFORE,0,FINITE,POS
203,ES100650.xml,4505,síntomas,39,47,0.0,5278,0.0,ACTUAL,0.0,BEFORE,0,FINITE,NEG
204,ES100650.xml,4522,detecta,74,81,0.0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
205,ES100650.xml,4541,analítica,89,98,0.0,5462 5465,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
206,ES100650.xml,4558,niveles,156,163,0.0,5284,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
207,ES100650.xml,4575,CEA,196,199,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
208,ES100650.xml,4594,ecografía,246,255,0.0,5472 5475 5478,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
209,ES100650.xml,4611,informa,277,284,0.0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
211,ES100650.xml,4647,depender,371,379,0.0,0,0.0,HEDGED,0.0,BEFORE,0,FINITE,POS
212,ES100650.xml,4666,colonoscopia,406,418,0.0,5310,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
213,ES100650.xml,4683,hallazgos,432,441,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,NEG
214,ES100650.xml,4702,laparoscopia,452,464,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
215,ES100650.xml,4721,objetiva,481,489,0.0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
217,ES100650.xml,4757,Remitida,639,647,0.0,5322,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
218,ES100650.xml,4774,tomografía,682,692,0.0,5486 5489,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
219,ES100650.xml,4791,TAC,714,717,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
220,ES100650.xml,4810,confirmó,743,751,0.0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
222,ES100650.xml,4846,encapsulada,902,913,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
223,ES100650.xml,4865,signos,920,926,0.0,5342 5345 5348,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,NEG
227,ES100650.xml,4939,intervino,1006,1015,0.0,5496 5499 5502,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
228,ES100650.xml,4956,describiéndose,1034,1048,0.0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
231,ES100650.xml,5009,implantes,1137,1146,0.0,5368,0.0,ACTUAL,0.0,BEFORE,0,FINITE,NEG
232,ES100650.xml,5026,ileocolectomía,1179,1193,0.0,5374,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
233,ES100650.xml,5043,anastomosis,1217,1228,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
234,ES100650.xml,5062,incidencias,1279,1290,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,NEG
235,ES100650.xml,5081,alta,1299,1303,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
236,ES100650.xml,5100,estudio,1351,1358,0.0,5510,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
237,ES100650.xml,5117,evidenció,1387,1396,0.0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
238,ES100650.xml,5136,ocupado,1433,1440,0.0,5396,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
241,ES100650.xml,5187,malignidad,1558,1568,0.0,0,0.0,HEDGED,0.0,BEFORE,0,FINITE,POS
242,ES100650.xml,5206,invasión,1610,1618,0.0,0,0.0,HEDGED,0.0,BEFORE,0,FINITE,POS
244,ES100650.xml,5244,aislaron,1692,1700,0.0,5516,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
246,ES100650.xml,4431,seguimiento,1779,1790,0.0,0,0.0,ACTUAL,0.0,CONTAINS,0,FINITE,POS
247,ES100650.xml,4450,asintomática,1809,1821,0.0,5442 5445,0.0,ACTUAL,0.0,CONTAINS,0,FINITE,POS
248,ES100650.xml,4467,marcadores,1828,1838,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
249,ES100650.xml,4486,TAC,1851,1854,0.0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
250,ES100320.xml,8880,politoxicómana,18,32,0,11015,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
251,ES100320.xml,8897,ingresar,62,70,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
252,ES100320.xml,8916,comienza,71,79,9052 9055 9058 9061 9064 9067 9070,0,0.0,ACTUAL,0.0,BEFORE,ASPECTUAL,FINITE,POS
261,ES100320.xml,9099,desconociendo,238,251,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
262,ES100320.xml,9118,parámetros,256,266,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
263,ES100320.xml,9137,exploración,299,310,0,11465,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
264,ES100320.xml,9154,ingreso,314,321,0,11073,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
265,ES100320.xml,9188,mostraba,322,330,0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
267,ES100320.xml,9207,TA,382,384,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
276,ES100320.xml,9370,resto,676,681,0,11497,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
277,ES100320.xml,9387,ingreso,757,764,0,11127,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
278,ES100320.xml,9404,pruebas,780,787,0,11503 11506 11509 11512 11515 11518,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
279,ES100320.xml,9421,Hb,805,807,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
282,ES100320.xml,9478,sodio,896,901,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
283,ES100320.xml,9497,LDH,914,917,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
284,ES100320.xml,9516,resto,947,952,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
285,ES100320.xml,9535,Gasometría,988,998,0,11529 11532 11535 11538,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
286,ES100320.xml,9552,ingreso,1017,1024,0,11169,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
287,ES100320.xml,9569,pH,1026,1028,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
288,ES100320.xml,9588,pCO2,1035,1039,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
289,ES100320.xml,9607,pO2,1052,1055,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
290,ES100320.xml,9626,placa,1073,1078,0,11547,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
291,ES100320.xml,9660,observa,1091,1098,0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
293,ES100320.xml,9679,comprime,1142,1150,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
294,ES100320.xml,9698,desplaza,1153,1161,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
296,ES100320.xml,9734,ecografía,1247,1256,0,11553 11556,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
297,ES100320.xml,9751,TAC,1269,1272,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
298,ES100320.xml,9770,aprecian,1317,1325,0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
301,ES100320.xml,9823,comprime,1408,1416,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
302,ES100320.xml,9842,patrón,1447,1453,0,11229,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
305,ES100320.xml,9893,ecocardiograma,1598,1612,0,11563,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
306,ES100320.xml,9910,encontraron,1643,1654,0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,NEG
307,ES100320.xml,9929,alteraciones,1655,1667,0,11247,0.0,ACTUAL,0.0,BEFORE,0,FINITE,NEG
308,ES100320.xml,9946,inicia,1672,1678,11253,11569,0.0,ACTUAL,0.0,BEFORE,ASPECTUAL,FINITE,POS
309,ES100320.xml,9961,tratamiento,1679,1690,0,11259 11262 11265,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
311,ES100320.xml,9997,ventilación,1821,1832,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
312,ES100320.xml,10016,observa,1874,1881,0,0,0.0,ACTUAL,0.0,BEFORE,EVIDENTIAL,FINITE,POS
313,ES100320.xml,10035,mejoría,1882,1889,0,0,0.0,ACTUAL,0.0,BEFORE,0,FINITE,POS
