,file,string,begin,end,value,timex3Class
135,ES100962.xml,8 horas,1696,1703,PT8H,DURATION
137,ES100962.xml,8 horas,1798,1805,PT8H,DURATION
140,ES100552.xml,42 años,9,16,P42Y,DURATION
144,ES100778.xml,75 años,25,32,P75Y,DURATION
145,ES100778.xml,30 minutos,775,785,PT30M,DURATION
146,ES100778.xml,100,955,958,0100,DATE
150,ES100803.xml,13 años,8,15,P13Y,DURATION
152,ES100634.xml,28 años,9,16,P28Y,DURATION
158,ES100797.xml,37 años,9,16,P37Y,DURATION
159,ES100797.xml,hace 2 años,122,133,XXXX,DATE
161,ES100797.xml,la semana,1279,1288,XXXX-WXX,DATE
163,ES100594.xml,72 años,9,16,P72Y,DURATION
167,ES100423.xml,45 años,9,16,P45Y,DURATION
168,ES100423.xml,Quince días,280,291,P15D,DURATION
173,ES100423.xml,reciente,1740,1748,PAST_REF,DATE
174,ES100569.xml,25 años,9,16,P25Y,DURATION
176,ES100030.xml,61 años,35,42,P61Y,DURATION
177,ES100030.xml,18 meses,115,123,P18M,DURATION
179,ES100178.xml,34 años,18,25,P34Y,DURATION
180,ES100178.xml,10 años,105,112,P10Y,DURATION
181,ES100178.xml,6 horas,354,361,PT6H,DURATION
182,ES100178.xml,tres días,491,500,P3D,DURATION
184,ES100178.xml,7 días,671,677,P7D,DURATION
185,ES100420.xml,69 años,9,16,P69Y,DURATION
186,ES100420.xml,Dos meses,826,835,P2M,DURATION
187,ES100420.xml,6 horas,1327,1334,PT6H,DURATION
189,ES100420.xml,2 días,1375,1381,P2D,DURATION
191,ES100363.xml,89 años,18,25,P89Y,DURATION
192,ES100363.xml,24 horas,398,406,P1D,DURATION
199,ES100001.xml,un año,166,172,P1Y,DURATION
200,ES100571.xml,70 años,9,16,P70Y,DURATION
205,ES100809.xml,32 años,36,43,P32Y,DURATION
208,ES100809.xml,aproximadamente 8 horas,2829,2852,PT8H,DURATION
211,ES100410.xml,73 años,12,19,P73Y,DURATION
212,ES100410.xml,once años,116,125,P11Y,DURATION
217,ES100412.xml,58 años,35,42,P58Y,DURATION
218,ES100002.xml,66 años,9,16,P66Y,DURATION
219,ES100002.xml,Ocho meses,421,431,P8M,DURATION
221,ES100994.xml,58 años,39,46,P58Y,DURATION
222,ES100994.xml,los 42 años,90,101,P42Y,DURATION
223,ES100994.xml,Dos años,141,149,P2Y,DURATION
224,ES100994.xml,58 años,1496,1503,P58Y,DURATION
225,ES100994.xml,Un año,1685,1691,P1Y,DURATION
229,ES100214.xml,3 años,9,15,P3Y,DURATION
235,ES100214.xml,diario,891,897,P1D,SET
239,ES100214.xml,2 horas,1399,1406,PT2H,DURATION
242,ES100605.xml,16 años,9,16,P16Y,DURATION
244,ES100163.xml,46 años,9,16,P46Y,DURATION
245,ES100163.xml,los 42 años,85,96,P42Y,DURATION
248,ES100177.xml,74 años,9,16,P74Y,DURATION
250,ES100177.xml,Diez horas,503,513,PT10H,DURATION
253,ES100177.xml,un año,924,930,P1Y,DURATION
254,ES100417.xml,un año y cinco meses,9,29,P1Y5M,DURATION
255,ES100417.xml,18 semanas,568,578,P18W,DURATION
256,ES100417.xml,los tres años,2889,2902,P3Y,DURATION
257,ES100832.xml,51 años,9,16,P51Y,DURATION
259,ES100832.xml,2 horas,1276,1283,PT2H,DURATION
260,ES100775.xml,trece años,10,20,P13Y,DURATION
263,ES100946.xml,64 años,9,16,P64Y,DURATION
265,ES100946.xml,1000,1484,1488,1000,DATE
266,ES100947.xml,46 años,10,17,P46Y,DURATION
273,ES100760.xml,60 años,9,16,P60Y,DURATION
279,ES100760.xml,al día,1564,1570,P1D,SET
280,ES100760.xml,Actualmente,1732,1743,PRESENT_REF,DATE
281,ES100760.xml,recientemente,1856,1869,PAST_REF,DATE
282,ES100819.xml,53 años,25,32,P53Y,DURATION
283,ES100819.xml,1 hora,968,974,PT1H,DURATION
284,ES100819.xml,50 minutos,975,985,PT50M,DURATION
290,ES100789.xml,68 años,18,25,P68Y,DURATION
296,ES100561.xml,1500,2458,2462,1500,DATE
299,ES100561.xml,al día,2582,2588,P1D,SET
302,ES100561.xml,1299,2910,2914,1299,DATE
303,ES100561.xml,2006,2915,2919,2006,DATE
305,ES100978.xml,59 años,12,19,P59Y,DURATION
306,ES100978.xml,hace un mes,62,73,XXXX-XX,DATE
307,ES100978.xml,12 horas,2308,2316,PT12H,DURATION
310,ES100937.xml,un mes,8,14,P1M,DURATION
312,ES100937.xml,24 horas,719,727,P1D,DURATION
314,ES100937.xml,2670,1007,1011,2670,DATE
316,ES100513.xml,7 años,9,15,P7Y,DURATION
317,ES100063.xml,58 años,9,16,P58Y,DURATION
323,ES100705.xml,5 años,33,39,P5Y,DURATION
324,ES100705.xml,6 meses,243,250,P6M,DURATION
325,ES100705.xml,los 4 años,286,296,P4Y,DURATION
327,ES100659.xml,43 años,35,42,P43Y,DURATION
331,ES100840.xml,39 años,9,16,P39Y,DURATION
335,ES100713.xml,28 años,21,28,P28Y,DURATION
338,ES100896.xml,12 meses,18,26,P1Y,DURATION
340,ES100064.xml,64 años,9,16,P64Y,DURATION
342,ES100064.xml,20 años,245,252,P20Y,DURATION
349,ES100064.xml,1145,1410,1414,1145,DATE
357,ES100273.xml,67 años,9,16,P67Y,DURATION
359,ES100924.xml,12 años,39,46,P12Y,DURATION
361,ES100688.xml,24 años,47,54,P24Y,DURATION
365,ES100688.xml,una semana,1570,1580,P1W,DURATION
367,ES100688.xml,al mes,1998,2004,P1M,SET
368,ES100663.xml,58 años,39,46,P58Y,DURATION
371,ES100715.xml,86 años,12,19,P86Y,DURATION
375,ES100098.xml,75 años,9,16,P75Y,DURATION
377,ES100259.xml,20 años,35,42,P20Y,DURATION
380,ES100259.xml,2424,639,643,2424,DATE
381,ES100112.xml,67 años,9,16,P67Y,DURATION
382,ES100112.xml,los 64 años,286,297,P64Y,DURATION
384,ES100112.xml,días previos,495,507,XXXX-XX-XX,DATE
385,ES100112.xml,Tres días,1467,1476,P3D,DURATION
388,ES100310.xml,73 años,9,16,P73Y,DURATION
389,ES100310.xml,3 meses,156,163,P3M,DURATION
392,ES100304.xml,34 años,9,16,P34Y,DURATION
393,ES100304.xml,9 años,224,230,P9Y,DURATION
394,ES100304.xml,los 3 meses,380,391,P3M,DURATION
395,ES100304.xml,diaria,470,476,P1D,SET
