file,id,begin,end
ES100001.xml,"['2136', '2145']","['116', '166']","['129', '178']"
ES100571.xml,"['8000', '8009', '8018', '8036', '8027', '8254', '8045']","['102', '260', '918', '2965', '3015', '3265', '3427']","['107', '268', '933', '2973', '3022', '3275', '3442']"
ES100809.xml,"['8297', '8306', '8315', '8324', '8335', '8506']","['1652', '1817', '2113', '2829', '3148', '3377']","['1664', '1830', '2124', '2859', '3167', '3387']"
ES100410.xml,"['4643', '4652', '4661', '4670', '4679']","['116', '160', '765', '1224', '1832']","['131', '166', '780', '1235', '1843']"
ES100412.xml,[],[],[]
ES100002.xml,"['4807', '5493', '5478']","['421', '1798', '2097']","['437', '1812', '2103']"
ES100994.xml,"['9142', '9151', '9160', '9169', '9178', '9187']","['141', '1685', '1704', '2764', '2819', '2969']","['155', '1699', '1716', '2776', '2825', '2980']"
ES100214.xml,"['5230', '5348', '5239', '5248', '5369', '5378', '5257', '5266', '5275', '5284', '5295', '5304', '5313', '5461', '5324', '5333']","['165', '282', '337', '453', '494', '510', '552', '723', '1027', '1048', '1078', '1376', '1394', '1594', '1749', '1804']","['172', '290', '345', '461', '498', '518', '562', '733', '1036', '1056', '1088', '1386', '1406', '1598', '1758', '1813']"
ES100605.xml,['1937'],['381'],['395']
ES100163.xml,"['2186', '2195']","['213', '1069']","['229', '1080']"
ES100177.xml,"['2296', '2341', '2305', '2314', '2362']","['408', '503', '809', '858', '924']","['418', '523', '816', '870', '938']"
ES100417.xml,['9053'],['559'],['578']
ES100832.xml,"['8303', '8312', '8321']","['97', '486', '1276']","['105', '499', '1293']"
ES100775.xml,"['1741', '1786']","['58', '596']","['65', '602']"
ES100946.xml,"['9521', '9530']","['63', '748']","['70', '763']"
ES100947.xml,"['4374', '4383', '4392', '4403', '4412', '4423', '4432']","['212', '1079', '1422', '1430', '1491', '1508', '1754']","['223', '1088', '1427', '1436', '1505', '1517', '1766']"
ES100760.xml,"['4405', '4420', '4449', '4458', '4518']","['34', '100', '410', '425', '1457']","['47', '113', '420', '438', '1475']"
ES100819.xml,"['8099', '8108', '8252', '8117', '8126', '8135', '8144', '8153']","['173', '968', '2194', '3077', '3185', '3206', '3396', '3534']","['186', '985', '2218', '3088', '3204', '3214', '3404', '3540']"
ES100789.xml,"['2003', '2026', '2035']","['266', '432', '559']","['280', '445', '570']"
ES100561.xml,"['7154', '7082', '7091', '7100', '8743', '7196', '7207', '7109']","['76', '463', '1128', '2502', '2525', '2673', '2799', '2924']","['87', '473', '1144', '2511', '2536', '2682', '2810', '2939']"
ES100978.xml,"['8702', '8485', '8496', '8505']","['62', '2303', '3465', '3757']","['89', '2316', '3472', '3770']"
ES100937.xml,"['5285', '5294', '5303', '5312', '5321', '5330', '5339']","['62', '704', '798', '812', '1633', '1894', '1936']","['70', '727', '810', '825', '1643', '1907', '1952']"
ES100513.xml,['1736'],['585'],['595']
ES100063.xml,"['7633', '7642', '9546', '9537', '7651', '7660', '7669', '7678', '7687', '9528', '7696']","['107', '2129', '2198', '2985', '3179', '3247', '3257', '3264', '3271', '3325', '3395']","['114', '2143', '2229', '3017', '3190', '3255', '3262', '3268', '3289', '3336', '3403']"
ES100705.xml,"['5133', '5142', '5151']","['1516', '1768', '1837']","['1529', '1803', '1851']"
ES100659.xml,"['2204', '2213', '2255', '2222']","['136', '743', '857', '914']","['151', '753', '874', '923']"
ES100840.xml,"['6971', '7109', '7100', '6980', '6989']","['296', '366', '419', '1871', '2992']","['304', '379', '429', '1891', '3006']"
ES100713.xml,"['4439', '4385', '4394']","['162', '1522', '1951']","['175', '1537', '1958']"
ES100896.xml,"['4440', '4547']","['121', '1663']","['134', '1676']"
ES100064.xml,"['7629', '7638', '7647', '7656', '7665', '7683', '7692', '7703', '7674', '7712', '7721', '7730', '7918', '7741', '7750', '7768', '7759']","['33', '245', '304', '311', '393', '522', '619', '640', '679', '721', '2803', '2862', '2938', '3000', '3210', '3291', '3308']","['45', '258', '308', '315', '411', '531', '631', '647', '692', '731', '2816', '2874', '2967', '3013', '3225', '3304', '3321']"
ES100273.xml,['2123'],['190'],['203']
ES100924.xml,['2084'],['180'],['188']
ES100688.xml,"['4613', '4646', '4622', '4669', '4678', '4631', '4689']","['150', '459', '495', '1533', '1556', '1616', '1998']","['165', '471', '507', '1550', '1580', '1626', '2020']"
ES100663.xml,"['5044', '5053']","['186', '1398']","['198', '1412']"
ES100715.xml,"['8771', '8780', '8789', '8798']","['1609', '1724', '2095', '2314']","['1618', '1731', '2104', '2318']"
ES100098.xml,"['7074', '7144']","['1476', '3184']","['1487', '3206']"
ES100259.xml,"['5709', '5718', '5727']","['84', '499', '1544']","['90', '507', '1560']"
ES100112.xml,"['7503', '7512', '7621', '7654', '7663', '7702', '7521', '7530', '7539']","['479', '488', '1467', '2095', '2153', '2674', '2862', '3134', '3288']","['486', '499', '1484', '2124', '2167', '2686', '2873', '3149', '3303']"
ES100310.xml,"['1826', '1835', '1844']","['150', '292', '353']","['163', '301', '361']"
ES100304.xml,"['7698', '7709', '7720', '7840']","['2099', '2926', '2959', '3111']","['2106', '2933', '2979', '3124']"
