,id_file,file,string,begin,end,value,timex3Class
52,8,ES100727.xml,los 10 días,2772,2783,P10D,DURATION
53,8,ES100727.xml,postoperatorio,2788,2802,NO_VALUE,PREPOSTEXP
54,8,ES100727.xml,Actualmente,2925,2936,PRESENT_REF,DATE
55,8,ES100727.xml,3 años de postoperatorio,2967,2991,P3Y,DURATION
56,9,ES100848.xml,noviembre de 2005,48,65,2005-11,DATE
57,9,ES100848.xml,120 horas,798,807,PT120H,DURATION
58,9,ES100848.xml,1,824,825,XXXX-XX-XX,DATE
59,9,ES100848.xml,5,828,829,XXXX-XX-XX,DATE
60,9,ES100848.xml,21,832,834,XXXX-XX-XX,DATE
61,9,ES100848.xml,25,837,839,XXXX-XX-XX,DATE
62,9,ES100848.xml,marzo de 2007,994,1007,2007-03,DATE
63,9,ES100848.xml,otros 5 meses,1901,1914,P5M,DURATION
64,10,ES100079.xml,3 meses,2550,2557,P3M,DURATION
65,10,ES100079.xml,los 12 meses,2955,2967,P12M,DURATION
66,10,ES100079.xml,Actualmente,3241,3252,PRESENT_REF,DATE
67,10,ES100079.xml,20 meses,3271,3279,P20M,DURATION
68,11,ES100737.xml,12 de junio de 2002,122,141,2002-06-12,DATE
69,11,ES100737.xml,10 días,169,176,P10D,DURATION
70,11,ES100737.xml,vespertino,227,237,XXXX-XX-XXTEV,TIME
71,11,ES100737.xml,los diez días,1768,1781,P10D,DURATION
72,11,ES100737.xml,la actualidad,1934,1947,PRESENT_REF,DATE
73,12,ES100521.xml,14 años antes,76,89,XXXX-XX-XX,DATE
74,12,ES100521.xml,11 días,294,301,P11D,DURATION
75,12,ES100521.xml,21 días,605,612,P21D,DURATION
76,12,ES100521.xml,7 semanas,685,694,P7W,DURATION
77,12,ES100521.xml,diarios,1375,1382,P1D,SET
78,12,ES100521.xml,20 días,1452,1459,P20D,DURATION
79,12,ES100521.xml,diarios,1479,1486,P1D,SET
80,12,ES100521.xml,las primeras 48h,1869,1885,PT48H,DURATION
81,12,ES100521.xml,5 minutos,1950,1959,PT5M,DURATION
82,12,ES100521.xml,2,1977,1978,PT2M,DURATION
83,12,ES100521.xml,La primera semana,1996,2013,XXXX-WXX,DATE
84,12,ES100521.xml,20 días,2286,2293,P20D,DURATION
85,12,ES100521.xml,3 veces por semana,2334,2352,P1W,SET
86,12,ES100521.xml,Una semana,2781,2791,P1W,DURATION
87,12,ES100521.xml,4 meses y medio,3188,3203,P4.5M,DURATION
88,12,ES100521.xml,2 semanas,3230,3239,P2M,DURATION
89,12,ES100521.xml,Seis semanas,3342,3354,P6W,DURATION
90,13,ES100284.xml,siete meses antes,103,120,XXXX-XX-XX,DATE
91,13,ES100284.xml,ese periodo,182,193,P7M,DURATION
92,13,ES100284.xml,dos meses,282,291,P2M,DURATION
93,13,ES100284.xml,los restantes cinco meses,372,397,P5M,DURATION
94,13,ES100284.xml,3 meses más tarde,1552,1569,XXXX-XX-XX,DATE
95,14,ES100736.xml,Septiembre de 2003,49,67,2003-09,DATE
96,14,ES100736.xml,8 meses,289,296,P8M,DURATION
97,14,ES100736.xml,dicho periodo de tiempo,357,380,P8M,DURATION
98,14,ES100736.xml,Mayo de 2004,871,883,2004-05,DATE
99,14,ES100736.xml,los 2 meses anteriores,1220,1242,P2M,DURATION
100,14,ES100736.xml,las pocas horas,1396,1411,PTXH,DURATION
101,14,ES100736.xml,unas 48 horas,1503,1516,PT48H,DURATION
102,14,ES100736.xml,postoperatoria,3028,3042,NO_VALUE,PREPOSTEXP
103,14,ES100736.xml,al cuarto día,3152,3165,XXXX-XX-XX,DATE
104,14,ES100736.xml,las semanas sucesivas,3297,3318,PXW,DURATION
105,14,ES100736.xml,un mes,3548,3554,P1M,DURATION
106,14,ES100736.xml,postquirúrgica,3620,3634,NO_VALUE,PREPOSTEXP
107,15,ES100050.xml,unos 8 meses,135,147,P8M,DURATION
108,16,ES100642.xml,el postoperatorio,299,316,NO_VALUE,PREPOSTEXP
109,16,ES100642.xml,Al mes,504,510,P1M,DURATION
110,17,ES100091.xml,unos 15 días,162,174,P15D,DURATION
111,17,ES100091.xml,8 años,310,316,P8Y,DURATION
112,17,ES100091.xml,las últimas dos semanas,368,391,P2W,DURATION
113,17,ES100091.xml,una vez,621,628,NO_VALUE,QUANTIFIER
114,17,ES100091.xml,cada 34 horas,638,652,None,SET
115,17,ES100091.xml,tres años,2031,2040,P3Y,DURATION
116,18,ES100278.xml,el momento,286,296,XXXX-XX-XXTXX,TIME
117,18,ES100278.xml,un plazo de 2 años,2760,2778,P2Y,DURATION
118,18,ES100278.xml,4 años,2843,2849,P4Y,DURATION
119,18,ES100278.xml,un postoperatorio complicado,2935,2963,NO_VALUE,PREPOSTEXP
120,19,ES100791.xml,6 años,113,119,P6Y,DURATION
121,20,ES100578.xml,las 12 semanas,1009,1023,P12W,DURATION
122,20,ES100578.xml,dos ocasiones,1658,1671,NO_VALUE,QUANTIFIER
123,20,ES100578.xml,las tres semanas,1789,1805,P3W,DURATION
124,21,ES100587.xml,hace 2 años,549,560,P2Y,DURATION
125,22,ES100633.xml,7 días,78,84,P7D,DURATION
126,22,ES100633.xml,los 5 meses,443,454,P5D,DURATION
127,22,ES100633.xml,24 meses,671,679,P24M,DURATION
128,23,ES100631.xml,4 días,88,94,P4D,DURATION
129,23,ES100631.xml,al mes,2675,2681,P1M,DURATION
130,23,ES100631.xml,los 4 meses,2686,2697,P4M,DURATION
131,23,ES100631.xml,4º mes,2926,2932,2017-04,DATE
132,23,ES100631.xml,la fecha actual,2984,2999,2018-12-01,DATE
133,23,ES100631.xml,24 meses,3006,3014,P24M,DURATION
134,24,ES100143.xml,las 2 semanas,700,713,P2W,DURATION
135,24,ES100143.xml,al mes,758,764,P1M,DURATION
136,25,ES100962.xml,una semana,1712,1722,P1W,DURATION
137,25,ES100962.xml,una semana,1814,1824,P1W,DURATION
138,25,ES100962.xml,el postoperatorio,1834,1851,NO_VALUE,PREPOSTEXP
139,25,ES100962.xml,los diez días,1912,1925,P10D,DURATION
140,26,ES100552.xml,10 días,65,72,P10D,DURATION
141,26,ES100552.xml,hace 20 años,200,212,P20Y,DURATION
142,26,ES100552.xml,postoperatoria,1141,1155,NO_VALUE,PREPOSTEXP
143,26,ES100552.xml,los 8 meses,1916,1927,P8M,DURATION
144,27,ES100778.xml,preoperatorios,254,268,NO_VALUE,PREPOSTEXP
145,27,ES100778.xml,postoperatoria,548,562,NO_VALUE,PREPOSTEXP
146,27,ES100778.xml,El postoperatorio,564,581,NO_VALUE,PREPOSTEXP
147,27,ES100778.xml,cada 30 minutos,770,785,T30M,SET
148,27,ES100778.xml,las 4 am,789,798,XXXX-XX-XXT04,TIME
149,27,ES100778.xml,diaria,1024,1030,P1D,SET
150,27,ES100778.xml,24 h más tarde,1548,1562,PT24H,DURATION
151,27,ES100778.xml,las 2 semanas,1592,1605,P2W,DURATION
152,27,ES100778.xml,18 meses,1726,1734,P18M,DURATION
153,28,ES100803.xml,los cuatro meses,200,216,P4M,DURATION
154,29,ES100634.xml,un mes,73,79,P1M,DURATION
155,29,ES100634.xml,diarios,482,489,P1D,SET
156,29,ES100634.xml,los seis meses,526,540,P6M,DURATION
157,29,ES100634.xml,al año,604,610,P1Y,DURATION
158,29,ES100634.xml,tres años,640,649,P3Y,DURATION
159,30,ES100797.xml,2 años,127,133,P2Y,DURATION
160,30,ES100797.xml,hace un año,195,206,P1Y,DURATION
161,30,ES100797.xml,nocturno,511,519,XXXX-XX-XXTNI,TIME
162,30,ES100797.xml,postquirúrgicos,722,737,NO_VALUE,PREPOSTEXP
163,30,ES100797.xml,2 a la semana,1275,1288,P1W,SET
164,30,ES100797.xml,20min,1596,1601,PT20M,DURATION
165,30,ES100797.xml,postquirúrgica,1660,1674,NO_VALUE,PREPOSTEXP
166,30,ES100797.xml,20min,1760,1765,PT20M,DURATION
167,30,ES100797.xml,los 6 meses,3327,3338,P6M,DURATION
168,31,ES100594.xml,hace 17 años,54,66,P17Y,DURATION
169,31,ES100594.xml,los 10 meses,1973,1985,P10M,DURATION
170,31,ES100594.xml,la actualidad,2144,2157,PRESENT_REF,DATE
171,32,ES100423.xml,postquirúrgica,255,269,NO_VALUE,PREPOSTEXP
172,32,ES100423.xml,Quince días antes,280,297,XXXX-XX-XX,DATE
173,32,ES100423.xml,16 años,434,441,P16Y,DURATION
174,32,ES100423.xml,duración variable,548,565,PXX,DURATION
175,32,ES100423.xml,hacía un año,598,610,P1Y,DURATION
176,32,ES100423.xml,hacía años,775,785,PXY,DURATION
177,32,ES100423.xml,al año,1597,1603,P1Y,DURATION
178,33,ES100569.xml,El postoperatorio,883,900,NO_VALUE,PREPOSTEXP
179,33,ES100569.xml,una semana,971,981,P1W,DURATION
180,34,ES100030.xml,18 meses antes,115,129,XXXX-XX-XX,DATE
181,34,ES100030.xml,los 4 meses,976,987,P4M,DURATION
182,35,ES100178.xml,10 años antes,105,118,2008,DATE
183,35,ES100178.xml,56 horas,352,361,PT5-6H,DURATION
184,35,ES100178.xml,tres días después,491,508,XXXX-XX-XX,DATE
185,35,ES100178.xml,14 días,578,585,P14D,DURATION
186,35,ES100178.xml,7 días después,671,685,XXXX-XX-XX,DATE
187,36,ES100420.xml,Dos meses antes,826,841,XXXX-XX-XX,DATE
188,36,ES100420.xml,cada 6 horas,1322,1334,T6H,SET
189,36,ES100420.xml,3 días,1343,1349,P3D,DURATION
190,36,ES100420.xml,2 días después,1375,1389,XXXX-XX-XX,DATE
191,36,ES100420.xml,ocho meses,1523,1533,P8M,DURATION
192,37,ES100363.xml,mes y medio,95,106,P1.5M,DURATION
193,37,ES100363.xml,los 5 días,448,458,P5D,DURATION
194,37,ES100363.xml,los 5 días,2573,2583,P5D,DURATION
195,37,ES100363.xml,al mes,2660,2666,P1M,DURATION
196,37,ES100363.xml,los 4 meses,2698,2709,P4M,DURATION
197,37,ES100363.xml,los 3 meses,2915,2926,P3M,DURATION
198,38,ES100001.xml,el último año,116,129,P1Y,DURATION
199,38,ES100001.xml,un año antes,166,178,XXXX-XX-XX,DATE
200,39,ES100571.xml,1 mes,102,107,P1M,DURATION
201,39,ES100571.xml,12 meses,260,268,P12M,DURATION
202,39,ES100571.xml,la primera hora,918,933,PT1H,DURATION
203,39,ES100571.xml,1 semana,2965,2973,P1W,DURATION
204,39,ES100571.xml,3 meses,3015,3022,P3M,DURATION
205,39,ES100571.xml,Una semana,3265,3275,P1W,DURATION
206,39,ES100571.xml,la primera hora,3427,3442,PT1H,DURATION
207,40,ES100809.xml,las 24 horas,1652,1664,PT24H,DURATION
208,40,ES100809.xml,del sexto día,1817,1830,XXXX-XX-XX,DATE
209,40,ES100809.xml,los 15 días,2113,2124,P15D,DURATION
210,40,ES100809.xml,aproximadamente 8 horas al día,2829,2859,P1D,SET
211,40,ES100809.xml,los 6 primeros días,3148,3167,P6D,DURATION
212,40,ES100809.xml,30 minutos,3377,3387,PT30M,DURATION
213,41,ES100410.xml,once años antes,116,131,2007,DATE
214,41,ES100410.xml,un mes,160,166,P1M,DURATION
215,41,ES100410.xml,las dos semanas,765,780,P2W,DURATION
216,41,ES100410.xml,los 40 días,1224,1235,P40D,DURATION
217,41,ES100410.xml,los 73 días,1832,1843,P73D,DURATION
218,42,ES100002.xml,Ocho meses antes,421,437,XXXX-XX,DATE
219,42,ES100002.xml,postoperatoria,1798,1812,NO_VALUE,PREPOSTEXP
220,42,ES100002.xml,9 años,2097,2103,P9Y,DURATION
221,43,ES100994.xml,Dos años antes,141,155,2016,DATE
222,43,ES100994.xml,Un año después,1685,1699,2017,DATE
223,43,ES100994.xml,el mismo mes,1704,1716,2017-XX,DATE
224,43,ES100994.xml,el mismo mes,2764,2776,XXXX-XX,DATE
225,43,ES100994.xml,un año,2819,2825,P1Y,DURATION
226,43,ES100994.xml,esas épocas,2969,2980,XXXX-XX,DATE
227,44,ES100214.xml,11 días,165,172,P11D,DURATION
228,44,ES100214.xml,las 36 h,282,290,PT36H,DURATION
229,44,ES100214.xml,24 horas,337,345,PT24H,DURATION
230,44,ES100214.xml,el día 1,453,461,XXXX-XX-XX,DATE
231,44,ES100214.xml,24 h,494,498,PT24H,DURATION
232,44,ES100214.xml,horarios,510,518,PT1H,SET
233,44,ES100214.xml,20 minutos,552,562,PT20M,DURATION
234,44,ES100214.xml,30 minutos,723,733,PT30M,DURATION
235,44,ES100214.xml,El día 12,1027,1036,XXXX-XX-XX,DATE
236,44,ES100214.xml,cada 2 h,1048,1056,PT2H,SET
237,44,ES100214.xml,40 minutos,1078,1088,PT40M,DURATION
238,44,ES100214.xml,60 minutos,1376,1386,PT60M,DURATION
239,44,ES100214.xml,cada 2 horas,1394,1406,PT2H,SET
240,44,ES100214.xml,36 h,1594,1598,PT36H,DURATION
241,44,ES100214.xml,el día 15,1749,1758,XXXX-XX-XX,DATE
242,44,ES100214.xml,el día 16,1804,1813,XXXX-XX-XX,DATE
243,45,ES100605.xml,los pocos días,381,395,PXD,DURATION
244,46,ES100163.xml,los últimos días,213,229,None,DURATION
245,46,ES100163.xml,los 4 meses,1069,1080,P4M,DURATION
246,47,ES100177.xml,Ocho horas,408,418,PT8H,DURATION
247,47,ES100177.xml,Diez horas más tarde,503,523,2017-XX-XXTXX,TIME
248,47,ES100177.xml,13 días,809,816,P3D,DURATION
249,47,ES100177.xml,Cuatro meses,858,870,P4M,DURATION
250,47,ES100177.xml,un año después,924,938,2018-12-01,DATE
251,48,ES100417.xml,las 16 y 18 semanas,559,578,P16-18W,DURATION
252,49,ES100832.xml,24 horas,97,105,PT24H,DURATION
253,49,ES100832.xml,Horas después,486,499,XXXX-XX-XXTXX,TIME
254,49,ES100832.xml,2 horas más tarde,1276,1293,XXXX-XX-XXTXX,TIME
255,50,ES100775.xml,12 días,58,65,P12D,DURATION
256,50,ES100775.xml,3 días,596,602,P3D,DURATION
257,51,ES100946.xml,6 meses,63,70,P6M,DURATION
258,51,ES100946.xml,postquirúrgicas,748,763,NO_VALUE,PREPOSTEXP
259,52,ES100947.xml,los 6 meses,212,223,P6M,DURATION
260,52,ES100947.xml,2 minutos,1079,1088,PT2M,DURATION
261,52,ES100947.xml,8 hrs,1422,1427,T8H,SET
262,52,ES100947.xml,4 días,1430,1436,P4D,DURATION
263,52,ES100947.xml,2 veces al día,1491,1505,P1D,SET
264,52,ES100947.xml,2 semanas,1508,1517,P2W,DURATION
265,52,ES100947.xml,los 12 meses,1754,1766,P12M,DURATION
266,53,ES100760.xml,enero de 2010,34,47,2010-01,DATE
267,53,ES100760.xml,abril de 2011,100,113,2011-04,DATE
268,53,ES100760.xml,una semana,410,420,P1W,DURATION
269,53,ES100760.xml,abril de 2011,425,438,2011-04,DATE
270,53,ES100760.xml,septiembre de 2012,1457,1475,2012-09,DATE
271,54,ES100819.xml,preoperatorio,173,186,NO_VALUE,PREPOSTEXP
272,54,ES100819.xml,1 hora 50 minutos,968,985,PT1.83H,DURATION
273,54,ES100819.xml,Postoperatorio inmediato,2194,2218,NO_VALUE,PREPOSTEXP
274,54,ES100819.xml,las 6 horas,3077,3088,PT6H,DURATION
275,54,ES100819.xml,la mañana siguiente,3185,3204,XXXX-XX-XXTMO,TIME
276,54,ES100819.xml,12 horas,3206,3214,PT12H,DURATION
277,54,ES100819.xml,24 horas,3396,3404,PT24H,DURATION
278,54,ES100819.xml,al mes,3534,3540,P1M,DURATION
279,55,ES100789.xml,hace 2 semanas,266,280,P2W,DURATION
280,55,ES100789.xml,las 2 semanas,432,445,P2W,DURATION
281,55,ES100789.xml,los 3 meses,559,570,P3M,DURATION
282,56,ES100561.xml,muchos años,76,87,PXY,DURATION
283,56,ES100561.xml,el momento,463,473,XXXX-XX-XXTXX,TIME
284,56,ES100561.xml,las tres semanas,1128,1144,P3W,DURATION
285,56,ES100561.xml,dos meses,2502,2511,P2M,DURATION
286,56,ES100561.xml,4 meses mas,2525,2536,P4M,DURATION
287,56,ES100561.xml,mensuales,2673,2682,P1M,SET
288,56,ES100561.xml,los 7 meses,2799,2810,P7M,DURATION
289,56,ES100561.xml,10 de noviembre,2924,2939,2006-11-10,DATE
290,57,ES100978.xml,hace un mes aproximadamente,62,89,P1M,DURATION
291,57,ES100978.xml,cada 12 horas,2303,2316,T1H,SET
292,57,ES100978.xml,5 meses,3465,3472,P5M,DURATION
293,57,ES100978.xml,los dos meses,3757,3770,P2M,DURATION
294,58,ES100937.xml,48 horas,62,70,T48H,DURATION
295,58,ES100937.xml,las siguientes 24 horas,704,727,PT24H,DURATION
296,58,ES100937.xml,las 48 horas,798,810,PT48H,DURATION
297,58,ES100937.xml,Al cuarto día,812,825,XXXX-XX-XX,DATE
298,58,ES100937.xml,cinco días,1633,1643,P5D,DURATION
299,58,ES100937.xml,al quinto día,1894,1907,XXXX-XX-XX,DATE
300,58,ES100937.xml,al duodécimo día,1936,1952,XXXX-XX-XX,DATE
301,59,ES100513.xml,el momento,585,595,2018-12-01TXX,TIME
302,60,ES100063.xml,6 meses,107,114,P6M,DURATION
303,60,ES100063.xml,postoperatorio,2129,2143,NO_VALUE,PREPOSTEXP
304,60,ES100063.xml,al séptimo día postintervención,2198,2229,XXXX-XX-XX,DATE
305,60,ES100063.xml,el período postquirúrgico precoz,2985,3017,NO_VALUE,PREPOSTEXP
306,60,ES100063.xml,los 40 días,3179,3190,P40D,DURATION
307,60,ES100063.xml,los seis,3247,3255,P6M,DURATION
308,60,ES100063.xml,nueve,3257,3262,P9M,DURATION
309,60,ES100063.xml,doce,3264,3268,P12M,DURATION
310,60,ES100063.xml,veinticuatro meses,3271,3289,P24M,DURATION
311,60,ES100063.xml,Actualmente,3325,3336,PRESENT_REF,DATE
312,60,ES100063.xml,28 meses,3395,3403,P28M,DURATION
313,61,ES100705.xml,Veintiún días,1516,1529,P21D,DURATION
314,61,ES100705.xml,el periodo postoperatorio inmediato,1768,1803,NO_VALUE,PREPOSTEXP
315,61,ES100705.xml,los tres meses,1837,1851,P3M,DURATION
316,62,ES100659.xml,las dos semanas,136,151,P2W,DURATION
317,62,ES100659.xml,una semana,743,753,P1W,DURATION
318,62,ES100659.xml,un postoperatorio,857,874,NO_VALUE,PREPOSTEXP
319,62,ES100659.xml,la semana,914,923,P1W,DURATION
320,63,ES100840.xml,48 horas,296,304,PT48H,DURATION
321,63,ES100840.xml,el último año,366,379,P1Y,DURATION
322,63,ES100840.xml,unas horas,419,429,PTXH,DURATION
323,63,ES100840.xml,las horas siguientes,1871,1891,PTXH,DURATION
324,63,ES100840.xml,postoperatorio,2992,3006,NO_VALUE,PREPOSTEXP
325,64,ES100713.xml,hacía 15 días,162,175,P15D,DURATION
326,64,ES100713.xml,postoperatorios,1522,1537,NO_VALUE,PREPOSTEXP
327,64,ES100713.xml,5 meses,1951,1958,P5M,DURATION
328,65,ES100896.xml,unas 10 horas,121,134,PT10H,DURATION
329,65,ES100896.xml,al tercer día,1663,1676,2018-12-01,DATE
330,66,ES100064.xml,mayo de 2006,33,45,2006-05,DATE
331,66,ES100064.xml,20 años antes,245,258,1986,DATE
332,66,ES100064.xml,1993,304,308,1993,DATE
333,66,ES100064.xml,1994,311,315,1994,DATE
334,66,ES100064.xml,septiembre de 2005,393,411,2005-09,DATE
335,66,ES100064.xml,esa época,522,531,2005-09,DATE
336,66,ES100064.xml,cada 21 días,619,631,P21D,SET
337,66,ES100064.xml,6 meses,640,647,P6M,DURATION
338,66,ES100064.xml,enero de 2006,679,692,2006-01,DATE
339,66,ES100064.xml,Días antes,721,731,PXD,DURATION
340,66,ES100064.xml,junio de 2006,2803,2816,2006-06,DATE
341,66,ES100064.xml,cada 21 días,2862,2874,P21D,SET
342,66,ES100064.xml,finales de septiembre de 2006,2938,2967,2006-09,DATE
343,66,ES100064.xml,julio de 2006,3000,3013,2006-07,DATE
344,66,ES100064.xml,octubre de 2006,3210,3225,2006-10,DATE
345,66,ES100064.xml,Recientemente,3291,3304,2007-01,DATE
346,66,ES100064.xml,enero de 2007,3308,3321,2007-01,DATE
347,67,ES100273.xml,enero de 2008,190,203,2008-01,DATE
348,68,ES100924.xml,36 horas,180,188,PT36H,DURATION
349,69,ES100688.xml,octubre de 2006,150,165,2006-10,DATE
350,69,ES100688.xml,del año 2004,459,471,2004,DATE
351,69,ES100688.xml,el mismo año,495,507,2004,DATE
352,69,ES100688.xml,post infiltración,1533,1550,NO_VALUE,PREPOSTEXP
353,69,ES100688.xml,intervalos de una semana,1556,1580,P1W,SET
354,69,ES100688.xml,tres meses,1616,1626,P3M,DURATION
355,69,ES100688.xml,al mes post operatorio,1998,2020,P1M,DURATION
356,70,ES100663.xml,varios meses,186,198,PXM,DURATION
357,70,ES100663.xml,estos momentos,1398,1412,XXXX-XX-XXTXX,TIME
358,71,ES100715.xml,2 semanas,1609,1618,P2W,DURATION
359,71,ES100715.xml,2 meses,1724,1731,P2M,DURATION
360,71,ES100715.xml,3 semanas,2095,2104,P3W,DURATION
361,71,ES100715.xml,30 s,2314,2318,PT30S,DURATION
362,72,ES100098.xml,ese momento,1476,1487,XXXX-XX-XXTXX,TIME
363,72,ES100098.xml,un periodo de 22 meses,3184,3206,P22M,DURATION
364,73,ES100259.xml,un año,84,90,P1Y,DURATION
365,73,ES100259.xml,24 horas,499,507,PT24H,DURATION
366,73,ES100259.xml,El posoperatorio,1544,1560,NO_VALUE,PREPOSTEXP
367,74,ES100112.xml,4 meses,479,486,P4M,DURATION
368,74,ES100112.xml,Veinte días,488,499,P20D,DURATION
369,74,ES100112.xml,Tres días después,1467,1484,XXXX-XX-XX,DATE
370,74,ES100112.xml,al décimo día postoperatorio,2095,2124,XXXX-XX-XX,DATE
371,74,ES100112.xml,los seis meses,2153,2167,P6M,DURATION
372,74,ES100112.xml,las 72 horas,2674,2686,PT72H,DURATION
373,74,ES100112.xml,ese momento,2862,2873,XXXX-XX-XXTXX,TIME
374,74,ES100112.xml,intraoperatoria,3134,3149,NO_VALUE,PREPOSTEXP
375,74,ES100112.xml,postoperatoria,3288,3303,NO_VALUE,PREPOSTEXP
376,75,ES100310.xml,hacía 3 meses,150,163,2018-09-01,DATE
377,75,ES100310.xml,dos meses,292,301,P2M,DURATION
378,75,ES100310.xml,dos años,353,361,P2Y,DURATION
379,76,ES100304.xml,semanal,2099,2106,P1W,SET
380,76,ES100304.xml,semanal,2926,2933,P1W,SET
381,76,ES100304.xml,los primeros 3 meses,2959,2979,P3M,DURATION
382,76,ES100304.xml,la actualidad,3111,3124,PRESENT_REF,DATE
